ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
5258,simple,,,Marble and Acacia Charcuterie Board with Handle LKCHB20001,1,0,visible,<h3>Key Features</h3><ul><li><strong>Marble & Acacia:</strong> Elegant combination of natural marble and acacia wood for a premium charcuterie presentation.</li><li><strong>Built-in Handle:</strong> Convenient handle for easy carrying and serving at events or in retail displays.</li><li><strong>Wholesale Ready:</strong> Perfect for bulk orders to kitchen supply stores and distributors seeking stylish serving boards.</li></ul>,"<h2>Marble and Acacia Charcuterie Board with Handle LKCHB20001</h2><p>Elevate your charcuterie offerings with this stunning marble and acacia wood board, designed for wholesale buyers who demand both beauty and durability. The natural marble surface provides a cool, elegant backdrop for cheeses, meats, and accompaniments, while the acacia wood base adds warmth and a sturdy foundation. This board is ideal for retailers and distributors looking to stock high-quality kitchen accessories that impress customers. The integrated handle ensures effortless transport from kitchen to table, making it a versatile addition to any serving collection. Crafted with care, this board is food-safe and built to last, suitable for daily use in homes or commercial settings. Order in bulk to meet the growing demand for stylish yet functional charcuterie boards that enhance any dining experience.</p><h3>Key Features</h3><ul><li><strong>Marble & Acacia:</strong> Premium materials combine for a sophisticated look and lasting performance.</li><li><strong>Convenient Handle:</strong> Built-in handle simplifies carrying and serving during gatherings or retail demos.</li><li><strong>Wholesale Appeal:</strong> Durable construction and timeless design make it a top choice for bulk wholesale orders.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Marble and Acacia Wood</td></tr><tr><td>Handle</td><td>Integrated</td></tr><tr><td>Use</td><td>Charcuterie, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20001-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20001.jpg",,,,,,,,,0,,Board Material,"Acacia, Marble",0,1,,10,charcuterie board wholesale,112,5123,no,,Marble & Acacia Charcuterie Board with Handle | Wholesale,"Premium marble and acacia charcuterie board with handle. Durable, stylish, and perfect for bulk orders. Order wholesale today."
5261,simple,,,Marble and Acacia Charcuterie Board with Handle LKCHB20002,1,0,visible,<h3>Key Features</h3><ul><li><strong>Marble & Acacia:</strong> High-quality natural materials offer a refined presentation for cheeses and meats.</li><li><strong>Integrated Handle:</strong> Easy-to-grip handle for convenient carrying and serving at events.</li><li><strong>Bulk Ready:</strong> Ideal for wholesale orders to kitchenware retailers and restaurant supply stores.</li></ul>,"<h2>Marble and Acacia Charcuterie Board with Handle LKCHB20002</h2><p>This marble and acacia charcuterie board is a must-have for wholesale buyers seeking elegant serving solutions. The combination of cool marble and warm acacia wood creates a visually appealing surface that highlights your charcuterie creations. Designed with a sturdy handle, this board is easy to carry and serve, making it perfect for caterers, retailers, and hospitality businesses. Its durable construction ensures long-lasting use, while the food-safe finish meets professional standards. Stock this versatile kitchen accessory in your inventory to attract customers who appreciate quality and style. Whether for home entertaining or commercial use, this board delivers on both aesthetics and functionality. Order in bulk to offer your clients a reliable, attractive serving board that stands out in any setting.</p><h3>Key Features</h3><ul><li><strong>Premium Materials:</strong> Marble and acacia wood combine for a durable, elegant board.</li><li><strong>Convenient Handle:</strong> Built-in handle simplifies transport and serving.</li><li><strong>Wholesale Option:</strong> Designed for bulk purchases by distributors and retailers.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Marble and Acacia Wood</td></tr><tr><td>Handle</td><td>Yes</td></tr><tr><td>Use</td><td>Charcuterie, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20002-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20002.jpg",,,,,,,,,0,,Board Material,"Acacia, Marble",0,1,,10,charcuterie board bulk,112,5123,no,,Marble & Acacia Charcuterie Board with Handle Bulk,"Elegant marble and acacia charcuterie board with handle. Durable, food-safe, and ideal for wholesale orders. Order today."
5264,simple,,,Round Marble and Acacia Charcuterie Board with Cutout LKCHB20003,1,0,visible,<h3>Key Features</h3><ul><li><strong>Round Design:</strong> Circular shape with marble and acacia for a unique charcuterie presentation.</li><li><strong>Cutout Handle:</strong> Convenient cutout for easy gripping and carrying.</li><li><strong>Wholesale Choice:</strong> Perfect for bulk orders to kitchen accessory retailers and distributors.</li></ul>,"<h2>Round Marble and Acacia Charcuterie Board with Cutout LKCHB20003</h2><p>Impress your customers with this round marble and acacia charcuterie board, featuring a practical cutout for easy handling. The circular design offers a fresh take on traditional serving boards, making it a standout item in any kitchenware collection. The marble surface provides a smooth, cool area for arranging cheeses, fruits, and cured meats, while the acacia base adds natural durability. This board is food-safe and crafted to withstand regular use, ideal for both home and commercial settings. Wholesale buyers will appreciate its versatility and visual appeal, perfect for retailers looking to offer unique kitchen accessories. The cutout handle ensures comfortable carrying, enhancing its functionality for catering and events. Add this board to your bulk order to meet the demand for stylish, practical serving solutions.</p><h3>Key Features</h3><ul><li><strong>Round Design:</strong> Unique circular shape with marble and acacia construction.</li><li><strong>Cutout Handle:</strong> Easy-grip cutout for convenient transport.</li><li><strong>Bulk Ready:</strong> Ideal for wholesale purchases by distributors and retailers.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Marble and Acacia Wood</td></tr><tr><td>Shape</td><td>Round</td></tr><tr><td>Handle</td><td>Cutout</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20003.jpg,,,,,,,,,0,,Board Material,"Acacia, Marble",0,1,,10,round charcuterie board,112,5123,no,,Round Marble & Acacia Charcuterie Board with Cutout,Unique round marble and acacia charcuterie board with cutout handle. Durable and stylish. Order wholesale today.
5266,simple,,,Round Acacia Charcuterie Board with Slice Grooves and Handle LKCHB20004,1,0,visible,<h3>Key Features</h3><ul><li><strong>Acacia Wood:</strong> Natural acacia construction with slice grooves for easy cutting.</li><li><strong>Built-in Handle:</strong> Convenient handle for carrying and serving.</li><li><strong>Wholesale Option:</strong> Ideal for bulk orders to kitchenware retailers and distributors.</li></ul>,"<h2>Round Acacia Charcuterie Board with Slice Grooves and Handle LKCHB20004</h2><p>This round acacia charcuterie board is designed for both functionality and style, featuring slice grooves that make cutting cheeses and meats effortless. The natural acacia wood offers a warm, durable surface that enhances any charcuterie display. A built-in handle ensures easy carrying, making it a practical choice for caterers and entertainers. This board is food-safe and crafted to resist wear, suitable for daily use in homes or commercial kitchens. Wholesale buyers can add this versatile piece to their inventory to meet the demand for high-quality kitchen accessories. Its simple yet elegant design appeals to a wide range of customers, from retailers to restaurant supply stores. Order in bulk to provide a reliable serving board that combines aesthetics with practical features.</p><h3>Key Features</h3><ul><li><strong>Slice Grooves:</strong> Integrated grooves for easy cutting of cheeses and meats.</li><li><strong>Acacia Wood:</strong> Durable and natural material with a warm finish.</li><li><strong>Handle:</strong> Built-in handle for convenient transport.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Shape</td><td>Round</td></tr><tr><td>Features</td><td>Slice Grooves, Handle</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20004.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20004-side-b.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20004-use.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,10,acacia charcuterie board,112,5123,no,,Round Acacia Charcuterie Board with Slice Grooves,Round acacia charcuterie board with slice grooves and handle. Durable and functional. Order wholesale today.
5270,simple,,,Round Marble and Acacia Charcuterie Board with Handle LKCHB20005,1,0,visible,<h3>Key Features</h3><ul><li><strong>Round Marble & Acacia:</strong> Elegant round design with marble top and acacia base.</li><li><strong>Integrated Handle:</strong> Built-in handle for easy carrying and serving.</li><li><strong>Wholesale Ready:</strong> Perfect for bulk orders to kitchen accessory retailers.</li></ul>,"<h2>Round Marble and Acacia Charcuterie Board with Handle LKCHB20005</h2><p>This round marble and acacia charcuterie board combines premium materials with a practical handle, making it a top choice for wholesale buyers. The marble surface provides a sophisticated look that highlights your charcuterie arrangements, while the acacia wood base ensures durability and stability. The built-in handle allows for easy transport, ideal for caterers and home entertainers alike. This board is food-safe and built to last, suitable for frequent use in professional or residential settings. Retailers and distributors can stock this versatile kitchen accessory to attract customers seeking both style and function. Its round shape offers a modern twist on classic serving boards, appealing to a broad audience. Add this board to your bulk order to enhance your product lineup with a reliable, attractive option.</p><h3>Key Features</h3><ul><li><strong>Premium Materials:</strong> Marble and acacia wood for a durable, elegant board.</li><li><strong>Easy Carry:</strong> Built-in handle for convenient transport and serving.</li><li><strong>Bulk Option:</strong> Designed for wholesale purchases by retailers and distributors.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Marble and Acacia Wood</td></tr><tr><td>Shape</td><td>Round</td></tr><tr><td>Handle</td><td>Built-in</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20005.jpg,,,,,,,,,0,,Board Material,"Acacia, Marble",0,1,,10,round marble charcuterie board,112,5123,no,,Round Marble & Acacia Charcuterie Board with Handle,Elegant round marble and acacia charcuterie board with handle. Durable and stylish. Order wholesale today.
5272,simple,,,Oval Acacia Charcuterie Board with Ridged Edge LKCHB20006,1,0,visible,<h3>Key Features</h3><ul><li><strong>Oval Acacia:</strong> Elegant oval shape with ridged edge for a distinctive look.</li><li><strong>Ridged Edge:</strong> Textured edge adds grip and visual appeal.</li><li><strong>Wholesale Choice:</strong> Ideal for bulk orders to kitchenware retailers and distributors.</li></ul>,"<h2>Oval Acacia Charcuterie Board with Ridged Edge LKCHB20006</h2><p>This oval acacia charcuterie board features a unique ridged edge that sets it apart from standard serving boards. The natural acacia wood provides a durable, food-safe surface that enhances any charcuterie presentation. The ridged design not only adds visual interest but also improves grip, making it easier to handle during serving. This board is perfect for retailers and distributors looking to offer distinctive kitchen accessories that combine form and function. Its oval shape offers ample space for arranging cheeses, meats, and accompaniments, while the sturdy construction ensures long-lasting use. Suitable for both home and commercial settings, this board is a versatile addition to any product lineup. Order in bulk to meet the growing demand for stylish, practical serving solutions that stand out in the market.</p><h3>Key Features</h3><ul><li><strong>Oval Shape:</strong> Spacious oval design for generous charcuterie displays.</li><li><strong>Ridged Edge:</strong> Textured edge for enhanced grip and aesthetics.</li><li><strong>Bulk Ready:</strong> Perfect for wholesale orders by retailers and distributors.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Shape</td><td>Oval</td></tr><tr><td>Edge</td><td>Ridged</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20006.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20006-use.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,oval charcuterie board,0,5123,no,,Oval Acacia Charcuterie Board with Ridged Edge | Wholesale,Unique oval acacia charcuterie board with ridged edge. Durable and stylish. Order wholesale today.
5275,simple,,,Round Acacia Charcuterie Board with Built-in Compartments LKCHB20007,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Built-in Compartments:</strong> Integrated sections for organizing cheeses, meats, and dips.</li><li><strong>Round Acacia:</strong> Natural acacia wood construction for durability and warmth.</li><li><strong>Wholesale Option:</strong> Ideal for bulk orders to kitchen accessory retailers.</li></ul>","<h2>Round Acacia Charcuterie Board with Built-in Compartments LKCHB20007</h2><p>This round acacia charcuterie board features built-in compartments that make it easy to organize and serve a variety of foods. The natural acacia wood provides a durable, food-safe surface that resists wear, while the compartments keep cheeses, meats, nuts, and dips separate for a tidy presentation. This board is perfect for retailers and distributors seeking functional kitchen accessories that enhance the entertaining experience. Its round shape offers a classic look, and the sturdy construction ensures long-term use in both home and commercial settings. The compartments eliminate the need for extra bowls, making it a convenient all-in-one solution. Wholesale buyers can stock this versatile board to meet customer demand for practical, stylish serving options. Add it to your bulk order to offer a product that combines organization with elegance.</p><h3>Key Features</h3><ul><li><strong>Built-in Compartments:</strong> Integrated sections for easy food organization.</li><li><strong>Acacia Wood:</strong> Durable and natural material with a warm finish.</li><li><strong>Bulk Ready:</strong> Perfect for wholesale purchases by retailers and distributors.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Shape</td><td>Round</td></tr><tr><td>Features</td><td>Built-in Compartments</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20007.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20007-use.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,10,charcuterie board with compartments,0,5123,no,,Round Acacia Charcuterie Board with Built-in Compartments,Round acacia charcuterie board with built-in compartments. Functional and stylish. Order wholesale today.
5278,simple,,,UV Printed Oval Acacia Charcuterie Board with Handle LKCHB20008,1,0,visible,<h3>Key Features</h3><ul><li><strong>UV Printed:</strong> Vibrant UV-printed design on oval acacia wood for a personalized touch.</li><li><strong>Built-in Handle:</strong> Convenient handle for easy carrying and serving.</li><li><strong>Wholesale Ready:</strong> Ideal for bulk orders to kitchenware retailers and distributors.</li></ul>,"<h2>UV Printed Oval Acacia Charcuterie Board with Handle LKCHB20008</h2><p>This UV printed oval acacia charcuterie board offers a unique blend of customization and functionality. The UV printing process ensures vibrant, long-lasting designs on the natural acacia wood surface, making each board a distinctive piece. A built-in handle provides easy transport, perfect for caterers and home entertainers. This board is food-safe and durable, suitable for regular use in various settings. Wholesale buyers can offer this customizable option to retailers looking for personalized kitchen accessories that stand out. The oval shape provides ample space for arranging charcuterie, while the handle adds practicality. Order in bulk to provide your clients with a product that combines artistry with utility, appealing to customers who value unique serving pieces.</p><h3>Key Features</h3><ul><li><strong>UV Printed:</strong> Customizable designs with vibrant, durable printing.</li><li><strong>Acacia Wood:</strong> Natural and sturdy material for long-lasting use.</li><li><strong>Handle:</strong> Built-in handle for convenient carrying.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood with UV Print</td></tr><tr><td>Shape</td><td>Oval</td></tr><tr><td>Handle</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20008-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20008-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20008.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,10,UV printed charcuterie board,0,5123,no,,UV Printed Oval Acacia Charcuterie Board with Handle,Customizable UV printed oval acacia charcuterie board with handle. Durable and unique. Order wholesale today.
5282,simple,,,UV Printed Acacia Charcuterie Board with Handle LKCHB20009,1,0,visible,<h3>Key Features</h3><ul><li><strong>UV Printed:</strong> Vibrant UV-printed design on acacia wood for a personalized look.</li><li><strong>Built-in Handle:</strong> Convenient handle for easy carrying and serving.</li><li><strong>Wholesale Option:</strong> Perfect for bulk orders to kitchen accessory retailers.</li></ul>,"<h2>UV Printed Acacia Charcuterie Board with Handle LKCHB20009</h2><p>This UV printed acacia charcuterie board combines customization with practicality, featuring a vibrant printed design that enhances its visual appeal. The natural acacia wood provides a durable, food-safe surface, while the built-in handle ensures easy transport and serving. This board is ideal for retailers and distributors looking to offer unique kitchen accessories that attract customers seeking personalized items. Its sturdy construction withstands regular use in homes or commercial settings, making it a versatile addition to any product lineup. The UV printing process ensures the design remains vibrant over time, adding lasting value. Order in bulk to meet the demand for stylish, customizable serving boards that stand out in the market.</p><h3>Key Features</h3><ul><li><strong>UV Printed:</strong> Customizable designs with vibrant, durable printing.</li><li><strong>Acacia Wood:</strong> Natural and sturdy material for long-lasting use.</li><li><strong>Handle:</strong> Built-in handle for convenient carrying.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood with UV Print</td></tr><tr><td>Handle</td><td>Yes</td></tr><tr><td>Use</td><td>Charcuterie, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20009.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20009-use.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,10,custom charcuterie board,0,5123,no,,UV Printed Acacia Charcuterie Board with Handle | Wholesale,Customizable UV printed acacia charcuterie board with handle. Durable and stylish. Order wholesale today.
5285,simple,,,Marble and Acacia Charcuterie Board with Rounded Corners LKCHB20010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Marble & Acacia:</strong> Elegant combination of marble and acacia wood with rounded corners.</li><li><strong>Rounded Corners:</strong> Safe, smooth edges for comfortable handling and serving.</li><li><strong>Wholesale Choice:</strong> Ideal for bulk orders to kitchenware retailers and distributors.</li></ul>","<h2>Marble and Acacia Charcuterie Board with Rounded Corners LKCHB20010</h2><p>This marble and acacia charcuterie board features rounded corners for added safety and comfort, making it a practical choice for wholesale buyers. The natural marble surface provides a cool, elegant backdrop for cheeses and meats, while the acacia wood base offers durability and warmth. Rounded corners ensure smooth handling and reduce the risk of damage, ideal for busy kitchens and retail displays. This board is food-safe and crafted to last, suitable for daily use in homes or commercial settings. Retailers and distributors can stock this versatile kitchen accessory to meet customer demand for stylish yet functional serving boards. Its classic design appeals to a wide audience, from caterers to home entertainers. Add this board to your bulk order to offer a reliable, attractive option that combines beauty with practicality.</p><h3>Key Features</h3><ul><li><strong>Premium Materials:</strong> Marble and acacia wood for a durable, elegant board.</li><li><strong>Rounded Corners:</strong> Safe, smooth edges for comfortable use.</li><li><strong>Bulk Ready:</strong> Perfect for wholesale purchases by retailers and distributors.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Marble and Acacia Wood</td></tr><tr><td>Corners</td><td>Rounded</td></tr><tr><td>Use</td><td>Charcuterie, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Charcuterie Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCHB20010.jpg,,,,,,,,,0,,Board Material,"Acacia, Marble",0,1,,10,marble charcuterie board,0,5123,no,,Marble & Acacia Charcuterie Board with Rounded Corners,Elegant marble and acacia charcuterie board with rounded corners. Safe and durable. Order wholesale today.
