ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
6010,simple,,,3-Stage Manual Knife Sharpener LKKSP20001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Three-Stage Sharpening:</strong> Coarse, fine, and honing stages restore and polish blades for professional-grade sharpness.</li><li><strong>Versatile Use:</strong> Compatible with straight-edge kitchen knives, ideal for bulk kitchen accessories restocking.</li><li><strong>Durable Build:</strong> Robust construction ensures long-lasting performance in high-volume wholesale environments.</li></ul>","<h2>3-Stage Manual Knife Sharpener LKKSP20001</h2><p>This 3-stage manual knife sharpener delivers consistent, professional results for busy kitchens. Designed for wholesale buyers, it features coarse, fine, and honing slots to quickly restore dull blades and maintain razor-sharp edges. The compact footprint saves counter space while handling high-volume sharpening needs. Ideal for restaurants and retailers seeking reliable knife maintenance tools, this sharpener works with standard straight-edge knives. Its ergonomic handle and non-slip base ensure safe, stable operation during repeated use. Stock this essential kitchen accessory to offer customers a cost-effective solution for extending knife life.</p><h3>Key Features</h3><ul><li><strong>Three-Stage Sharpening:</strong> Coarse, fine, and honing stages restore and polish blades for professional-grade sharpness.</li><li><strong>Versatile Use:</strong> Compatible with straight-edge kitchen knives, ideal for bulk kitchen accessories restocking.</li><li><strong>Durable Build:</strong> Robust construction ensures long-lasting performance in high-volume wholesale environments.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Manual knife sharpener</td></tr><tr><td>Stages</td><td>3 (coarse, fine, honing)</td></tr><tr><td>Compatibility</td><td>Straight-edge kitchen knives</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001-scene.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001-bottom.jpg",,,,,,,,,0,,,,,,,11,manual knife sharpener,91,6009,no,,3-Stage Manual Knife Sharpener | Wholesale Bulk,"Professional 3-stage manual knife sharpener for bulk orders. Coarse, fine, and honing slots restore blades. Order wholesale today."
6014,simple,,,3-Stage Manual Knife Sharpener LKKSP20002-4,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Three-Stage System:</strong> Coarse, fine, and honing slots provide complete edge restoration for diverse kitchen blades.</li><li><strong>Multi-Sharpener Pack:</strong> Includes four units per SKU, perfect for wholesale kitchen accessories bulk purchases.</li><li><strong>Safe Operation:</strong> Non-slip base and ergonomic handle ensure stability during repeated sharpening sessions.</li></ul>","<h2>3-Stage Manual Knife Sharpener LKKSP20002-4</h2><p>This 3-stage manual knife sharpener pack (4 units per SKU) offers excellent value for wholesale buyers. Each sharpener features coarse, fine, and honing slots to handle dull blades efficiently, making it a must-have for commercial kitchens and retail resale. The compact design fits easily into drawers or countertop caddies, while the non-slip base ensures safe use. Ideal for restaurant supply stores and kitchenware distributors, this bulk pack reduces per-unit costs and simplifies inventory management. Stock this practical knife maintenance tool to meet ongoing demand for durable kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Three-Stage System:</strong> Coarse, fine, and honing slots provide complete edge restoration for diverse kitchen blades.</li><li><strong>Multi-Sharpener Pack:</strong> Includes four units per SKU, perfect for wholesale kitchen accessories bulk purchases.</li><li><strong>Safe Operation:</strong> Non-slip base and ergonomic handle ensure stability during repeated sharpening sessions.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Manual knife sharpener</td></tr><tr><td>Stages</td><td>3 (coarse, fine, honing)</td></tr><tr><td>Units per SKU</td><td>4</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-red.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-green.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-generic-packaging.jpg",,,,,,,,,0,,,,,,,11,manual knife sharpener,91,6009,no,,3-Stage Manual Knife Sharpener 4-Pack | Wholesale,"Bulk 4-pack of 3-stage manual knife sharpeners for wholesale. Coarse, fine, and honing slots. Order wholesale today."
6020,simple,,,2-Stage Portable Knife Sharpener LKKSP20005-8,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Two-Stage Design:</strong> Coarse and fine slots quickly sharpen and hone straight-edge knives for everyday use.</li><li><strong>Portable Size:</strong> Lightweight and compact, ideal for on-the-go sharpening in professional kitchens or events.</li><li><strong>Easy to Use:</strong> Simple pull-through mechanism requires no skill, perfect for high-volume kitchen accessories wholesale.</li></ul>","<h2>2-Stage Portable Knife Sharpener LKKSP20005-8</h2><p>This 2-stage portable knife sharpener offers a convenient solution for maintaining sharp blades in any kitchen setting. With coarse and fine slots, it quickly restores edges on straight-edge knives, making it ideal for chefs, caterers, and food service operations. The compact, lightweight design fits easily into knife rolls or drawers, ensuring portability without sacrificing performance. Wholesale buyers can stock this practical tool for retailers seeking affordable knife maintenance options. Its simple pull-through operation requires no training, making it a top choice for busy environments. Add this essential kitchen accessory to your bulk inventory today.</p><h3>Key Features</h3><ul><li><strong>Two-Stage Design:</strong> Coarse and fine slots quickly sharpen and hone straight-edge knives for everyday use.</li><li><strong>Portable Size:</strong> Lightweight and compact, ideal for on-the-go sharpening in professional kitchens or events.</li><li><strong>Easy to Use:</strong> Simple pull-through mechanism requires no skill, perfect for high-volume kitchen accessories wholesale.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Portable knife sharpener</td></tr><tr><td>Stages</td><td>2 (coarse, fine)</td></tr><tr><td>Compatibility</td><td>Straight-edge kitchen knives</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-colors.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-portable.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-use.jpg",,,,,,,,,0,,,,,,,11,portable knife sharpener,91,6009,no,,2-Stage Portable Knife Sharpener | Wholesale Bulk,Compact 2-stage portable knife sharpener for bulk orders. Coarse and fine slots for quick edge restoration. Order wholesale today.
6025,simple,,,2-Stage Portable Knife Sharpener LKKSP20009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Two-Stage Sharpening:</strong> Coarse and fine slots provide efficient edge maintenance for standard kitchen knives.</li><li><strong>Portable Design:</strong> Lightweight and pocket-friendly, perfect for chefs and kitchen staff on the move.</li><li><strong>Durable Construction:</strong> Built to withstand frequent use in commercial kitchens, ideal for wholesale kitchen accessories.</li></ul>","<h2>2-Stage Portable Knife Sharpener LKKSP20009</h2><p>This 2-stage portable knife sharpener delivers reliable sharpening for everyday kitchen blades. Featuring coarse and fine slots, it quickly restores dull edges, making it a practical addition to any chef's toolkit. The compact size allows easy storage in knife rolls or drawers, while the sturdy build ensures long-term durability in high-use environments. Wholesale buyers can offer this affordable sharpener to retailers catering to professional kitchens and home cooks alike. Its simple pull-through design requires no special skills, reducing the learning curve for staff. Stock this essential kitchen accessory to meet consistent demand for knife maintenance tools.</p><h3>Key Features</h3><ul><li><strong>Two-Stage Sharpening:</strong> Coarse and fine slots provide efficient edge maintenance for standard kitchen knives.</li><li><strong>Portable Design:</strong> Lightweight and pocket-friendly, perfect for chefs and kitchen staff on the move.</li><li><strong>Durable Construction:</strong> Built to withstand frequent use in commercial kitchens, ideal for wholesale kitchen accessories.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Portable knife sharpener</td></tr><tr><td>Stages</td><td>2 (coarse, fine)</td></tr><tr><td>Compatibility</td><td>Straight-edge kitchen knives</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009-two-stage.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009-portable.jpg",,,,,,,,,0,,,,,,,11,portable knife sharpener,91,6009,no,,2-Stage Portable Knife Sharpener LKKSP20009 | Wholesale,Reliable 2-stage portable knife sharpener for bulk orders. Coarse and fine slots for dull blades. Order wholesale today.
6029,simple,,,4-in-1 Knife and Scissor Sharpener LKKSP20010-12,1,0,visible,"<h3>Key Features</h3><ul><li><strong>4-in-1 Functionality:</strong> Sharpens both knives and scissors with dedicated slots, maximizing utility for kitchens.</li><li><strong>Multi-Stage Design:</strong> Coarse, fine, and honing stages ensure complete edge restoration for various blade types.</li><li><strong>Versatile Tool:</strong> Ideal for retail and wholesale kitchen accessories, meeting diverse sharpening needs.</li></ul>","<h2>4-in-1 Knife and Scissor Sharpener LKKSP20010-12</h2><p>This 4-in-1 knife and scissor sharpener offers a comprehensive sharpening solution for professional kitchens. With dedicated slots for knives and scissors, plus coarse, fine, and honing stages, it restores edges on a wide range of blades. The multi-functional design saves space and reduces the need for multiple tools, making it a cost-effective choice for restaurants and retailers. Wholesale buyers can stock this versatile sharpener to meet the demands of busy kitchens. Its sturdy construction ensures reliable performance during repeated use. Add this essential kitchen accessory to your bulk inventory to provide customers with an all-in-one maintenance tool.</p><h3>Key Features</h3><ul><li><strong>4-in-1 Functionality:</strong> Sharpens both knives and scissors with dedicated slots, maximizing utility for kitchens.</li><li><strong>Multi-Stage Design:</strong> Coarse, fine, and honing stages ensure complete edge restoration for various blade types.</li><li><strong>Versatile Tool:</strong> Ideal for retail and wholesale kitchen accessories, meeting diverse sharpening needs.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Multi-function sharpener</td></tr><tr><td>Stages</td><td>3 (coarse, fine, honing)</td></tr><tr><td>Compatibility</td><td>Knives and scissors</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-silver.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-top-view.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-side-view.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-blue.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12.jpg",,,,,,,,,0,,,,,,,11,knife and scissor sharpener,91,6009,no,,4-in-1 Knife and Scissor Sharpener | Wholesale Bulk,Versatile 4-in-1 knife and scissor sharpener for bulk orders. Sharpens both tools with multiple stages. Order wholesale today.
14196,simple,,,Knife Sharpener With Suction Pad LKKSP20013,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Suction Pad Base:</strong> Securely attaches to countertops for stable, hands-free sharpening in busy kitchens.</li><li><strong>Two-Stage Sharpening:</strong> Coarse and fine slots quickly restore and hone straight-edge kitchen knives.</li><li><strong>Space-Saving Design:</strong> Compact and portable, ideal for commercial kitchens and wholesale kitchen accessories.</li></ul>","<h2>Knife Sharpener With Suction Pad LKKSP20013</h2><p>This knife sharpener features a powerful suction pad base that locks onto countertops, providing stable, hands-free operation. The two-stage design includes coarse and fine slots to quickly sharpen and hone straight-edge knives, making it ideal for busy professional kitchens. Its compact footprint saves valuable counter space while ensuring safety during use. Wholesale buyers can offer this practical tool to restaurants and catering businesses seeking reliable knife maintenance. The suction pad eliminates slipping, reducing the risk of accidents. Stock this essential kitchen accessory to meet the demands of high-volume environments.</p><h3>Key Features</h3><ul><li><strong>Suction Pad Base:</strong> Securely attaches to countertops for stable, hands-free sharpening in busy kitchens.</li><li><strong>Two-Stage Sharpening:</strong> Coarse and fine slots quickly restore and hone straight-edge kitchen knives.</li><li><strong>Space-Saving Design:</strong> Compact and portable, ideal for commercial kitchens and wholesale kitchen accessories.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Manual knife sharpener with suction pad</td></tr><tr><td>Stages</td><td>2 (coarse, fine)</td></tr><tr><td>Compatibility</td><td>Straight-edge kitchen knives</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-5.jpg",,,,,,,,,0,,,,,,,7,knife sharpener with suction pad,91,6009,no,,Knife Sharpener With Suction Pad | Wholesale Bulk,Stable knife sharpener with suction pad for bulk orders. Two-stage sharpening for dull blades. Order wholesale today.
14198,simple,,,Electric Knife Sharpener LKKSP20014,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Electric Operation:</strong> Motor-driven sharpening delivers fast, consistent results for high-volume kitchen use.</li><li><strong>Multi-Stage System:</strong> Coarse and fine grinding wheels restore and polish blades to professional sharpness.</li><li><strong>User-Friendly:</strong> Simple slot-guided operation reduces effort, ideal for wholesale kitchen accessories restocking.</li></ul>","<h2>Electric Knife Sharpener LKKSP20014</h2><p>This electric knife sharpener provides fast, efficient blade maintenance for commercial kitchens. With motor-driven coarse and fine grinding wheels, it quickly restores dull edges and polishes them to a razor-sharp finish. The slot-guided design ensures consistent angles, reducing the risk of blade damage. Ideal for restaurants and food service operations, this sharpener handles high-volume use with ease. Wholesale buyers can stock this time-saving tool for retailers seeking premium knife maintenance solutions. Its compact size fits easily on countertops, while the durable construction ensures long-lasting performance. Add this essential kitchen accessory to your bulk inventory.</p><h3>Key Features</h3><ul><li><strong>Electric Operation:</strong> Motor-driven sharpening delivers fast, consistent results for high-volume kitchen use.</li><li><strong>Multi-Stage System:</strong> Coarse and fine grinding wheels restore and polish blades to professional sharpness.</li><li><strong>User-Friendly:</strong> Simple slot-guided operation reduces effort, ideal for wholesale kitchen accessories restocking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Electric knife sharpener</td></tr><tr><td>Stages</td><td>2 (coarse, fine)</td></tr><tr><td>Power</td><td>Electric motor</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-9.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-8.jpg",,,,,,,,,0,,,,,,,7,electric knife sharpener,91,6009,no,,Electric Knife Sharpener LKKSP20014 | Wholesale Bulk,Fast electric knife sharpener for bulk orders. Motor-driven coarse and fine wheels restore blades. Order wholesale today.
14199,simple,,,Diamond Rolling Knife Sharpener Set LKKSP20015,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Diamond Rolling Abrasives:</strong> Industrial-grade diamond wheels provide long-lasting, precise sharpening for hard blades.</li><li><strong>Set Includes Multiple Grits:</strong> Coarse and fine rollers enable progressive edge refinement for professional kitchens.</li><li><strong>Durable Construction:</strong> Built for repeated use in high-volume environments, perfect for wholesale kitchen accessories.</li></ul>","<h2>Diamond Rolling Knife Sharpener Set LKKSP20015</h2><p>This diamond rolling knife sharpener set uses industrial-grade diamond abrasives to deliver exceptional sharpening performance. The set includes multiple grit rollers, allowing users to progress from coarse to fine for a polished edge. Diamond wheels are known for their durability and ability to sharpen harder blade steels, making this set ideal for professional kitchens. The rolling mechanism ensures even pressure, reducing the risk of uneven wear. Wholesale buyers can offer this premium sharpening solution to chefs and culinary professionals. Its compact design stores easily, while the robust construction withstands frequent use. Stock this essential kitchen accessory for customers who demand top-tier maintenance tools.</p><h3>Key Features</h3><ul><li><strong>Diamond Rolling Abrasives:</strong> Industrial-grade diamond wheels provide long-lasting, precise sharpening for hard blades.</li><li><strong>Set Includes Multiple Grits:</strong> Coarse and fine rollers enable progressive edge refinement for professional kitchens.</li><li><strong>Durable Construction:</strong> Built for repeated use in high-volume environments, perfect for wholesale kitchen accessories.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Diamond rolling knife sharpener set</td></tr><tr><td>Abrasive</td><td>Diamond wheels</td></tr><tr><td>Grits</td><td>Multiple (coarse, fine)</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-1.jpg",,,,,,,,,0,,,,,,,6,diamond knife sharpener,91,6009,no,,Diamond Rolling Knife Sharpener Set | Wholesale Bulk,Premium diamond rolling knife sharpener set for bulk orders. Industrial-grade wheels for hard blades. Order wholesale today.
14200,simple,,,Fixed-Angle Knife Sharpener Set LKKSP20016,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Fixed-Angle System:</strong> Preset sharpening angles ensure consistent, professional edges every time.</li><li><strong>Set Includes Multiple Stones:</strong> Coarse, medium, and fine stones for complete blade restoration and polishing.</li><li><strong>Easy Setup:</strong> Simple clamping mechanism holds knives securely, ideal for wholesale kitchen accessories.</li></ul>","<h2>Fixed-Angle Knife Sharpener Set LKKSP20016</h2><p>This fixed-angle knife sharpener set takes the guesswork out of blade maintenance. With preset sharpening angles, it delivers consistent results regardless of user skill level. The set includes coarse, medium, and fine stones, allowing for progressive edge refinement from dull to razor-sharp. A secure clamping mechanism holds knives in place, ensuring safety and precision during use. Ideal for professional kitchens and culinary schools, this set is a valuable addition to any wholesale kitchen accessories lineup. Its compact design stores easily, while the durable materials withstand frequent sharpening sessions. Stock this tool for customers who prioritize edge quality.</p><h3>Key Features</h3><ul><li><strong>Fixed-Angle System:</strong> Preset sharpening angles ensure consistent, professional edges every time.</li><li><strong>Set Includes Multiple Stones:</strong> Coarse, medium, and fine stones for complete blade restoration and polishing.</li><li><strong>Easy Setup:</strong> Simple clamping mechanism holds knives securely, ideal for wholesale kitchen accessories.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Fixed-angle knife sharpener set</td></tr><tr><td>Stones</td><td>Coarse, medium, fine</td></tr><tr><td>Angle</td><td>Preset fixed angle</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-1.jpg",,,,,,,,,0,,,,,,,7,fixed-angle knife sharpener,91,6009,no,,Fixed-Angle Knife Sharpener Set | Wholesale Bulk,Precision fixed-angle knife sharpener set for bulk orders. Preset angles and multiple stones. Order wholesale today.
14201,simple,,,4-in-1 Knife and Scissor Sharpener LKKSP20017,1,0,visible,"<h3>Key Features</h3><ul><li><strong>4-in-1 Functionality:</strong> Sharpens both knives and scissors with dedicated slots for versatile kitchen use.</li><li><strong>Multi-Stage Design:</strong> Coarse, fine, and honing stages restore and polish edges on various blade types.</li><li><strong>Compact and Durable:</strong> Space-saving build with robust materials, perfect for wholesale kitchen accessories.</li></ul>","<h2>4-in-1 Knife and Scissor Sharpener LKKSP20017</h2><p>This 4-in-1 knife and scissor sharpener offers a versatile solution for maintaining blades in commercial kitchens. With dedicated slots for knives and scissors, plus coarse, fine, and honing stages, it handles a wide range of sharpening tasks. The multi-functional design reduces the need for separate tools, saving space and cost. Ideal for restaurants and catering businesses, this sharpener ensures blades stay sharp for efficient food preparation. Wholesale buyers can stock this practical tool for retailers seeking all-in-one maintenance solutions. Its durable construction withstands frequent use, while the compact size fits easily into drawers or caddies.</p><h3>Key Features</h3><ul><li><strong>4-in-1 Functionality:</strong> Sharpens both knives and scissors with dedicated slots for versatile kitchen use.</li><li><strong>Multi-Stage Design:</strong> Coarse, fine, and honing stages restore and polish edges on various blade types.</li><li><strong>Compact and Durable:</strong> Space-saving build with robust materials, perfect for wholesale kitchen accessories.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Type</td><td>Multi-function sharpener</td></tr><tr><td>Stages</td><td>3 (coarse, fine, honing)</td></tr><tr><td>Compatibility</td><td>Knives and scissors</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-1.jpg",,,,,,,,,0,,,,,,,7,knife and scissor sharpener,91,6009,no,,4-in-1 Knife and Scissor Sharpener LKKSP20017 | Wholesale,Versatile 4-in-1 knife and scissor sharpener for bulk orders. Sharpens both tools with multiple stages. Order wholesale today.
