ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
1876,simple,,,8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Gyuto 200 mm LKJGY10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV clad steel offers excellent edge retention and corrosion resistance for professional use.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle provides a comfortable, secure grip for precise cutting.</li><li><strong>Versatility:</strong> 200 mm gyuto design suitable for slicing, dicing, and chopping in commercial kitchens.</li></ul>","<h2>8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Gyuto 200 mm LKJGY10001</h2><p>This gyuto knife features a 200 mm blade crafted from 8Cr13MoV clad steel, known for its balanced hardness and stain resistance. The octagonal rosewood wa handle offers an ergonomic grip, reducing fatigue during extended use. Designed for wholesale buyers, this knife is ideal for retailers and distributors seeking reliable Japanese kitchen knives for professional environments. Its versatile blade excels at slicing, dicing, and chopping, making it a staple for any commercial kitchen. The clad construction enhances durability while maintaining a sharp edge. Perfect for bulk orders, this gyuto combines traditional Japanese craftsmanship with modern materials to meet the demands of high-volume cooking. Stock this essential kitchen accessory for your B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV clad steel for superior edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle for a comfortable, secure grip.</li><li><strong>Versatility:</strong> Ideal for slicing, dicing, and chopping in commercial kitchens.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>8Cr13MoV Clad</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Handle Shape</td><td>Octagonal</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10001-gyuto.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,65,gyuto knife,64,1598,no,,8Cr13MoV Clad Gyuto 200 mm Rosewood Wa Handle Wholesale,Wholesale 8Cr13MoV clad gyuto knife with 200 mm blade and octagonal rosewood handle. Durable and sharp for commercial kitchens. Order wholesale today.
1879,simple,,,8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm LKJGY10008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Design:</strong> Kiritsuke gyuto hybrid with 200 mm 8Cr13MoV steel for versatile cutting.</li><li><strong>Handle:</strong> Rosewood handle offers durability and a classic Japanese aesthetic.</li><li><strong>Performance:</strong> Sharp edge retention suitable for slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm LKJGY10008</h2><p>This kiritsuke gyuto knife combines a 200 mm blade from 8Cr13MoV steel with a rosewood handle, offering a hybrid design for professional chefs. The flat profile and sharp tip allow for precise slicing and chopping, making it a versatile tool in commercial kitchens. As a wholesale option, this knife is perfect for retailers and distributors catering to restaurant supply stores. The rosewood handle provides a secure grip, while the steel ensures long-lasting edge retention. Ideal for bulk orders, this Japanese kitchen knife excels at both traditional gyuto tasks and kiritsuke-specific cuts. Enhance your inventory with this durable, high-performance kitchen accessory for B2B clients seeking quality and value.</p><h3>Key Features</h3><ul><li><strong>Blade Design:</strong> Kiritsuke gyuto hybrid for versatile cutting applications.</li><li><strong>Handle:</strong> Rosewood handle for durability and classic look.</li><li><strong>Performance:</strong> Sharp edge retention for efficient bulk food prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,"Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef, Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose",,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10008-kiritsuke-gyuto.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,68,kiritsuke gyuto,64,1598,no,,8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm Wholesale,Wholesale kiritsuke gyuto knife with 200 mm 8Cr13MoV blade and rosewood handle. Versatile for commercial kitchens. Order wholesale today.
1880,simple,,,8Cr13MoV Rosewood Gyuto 200 mm LKJGY10002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel provides excellent edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Rosewood handle offers a comfortable, traditional grip for professional use.</li><li><strong>Versatility:</strong> 200 mm gyuto blade ideal for slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>8Cr13MoV Rosewood Gyuto 200 mm LKJGY10002</h2><p>This gyuto knife features a 200 mm blade crafted from 8Cr13MoV steel, known for its balanced hardness and stain resistance. The rosewood handle adds a touch of tradition while providing a comfortable grip for extended use. Designed for wholesale buyers, this knife is ideal for retailers and distributors seeking reliable Japanese kitchen knives for professional kitchens. Its versatile blade excels at slicing, dicing, and chopping, making it a staple for any commercial environment. The steel ensures long-lasting sharpness, reducing the need for frequent sharpening. Perfect for bulk orders, this gyuto combines durability with performance to meet the demands of high-volume cooking. Stock this essential kitchen accessory for your B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel for superior edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Rosewood handle for a comfortable, traditional grip.</li><li><strong>Versatility:</strong> Ideal for slicing, dicing, and chopping in commercial kitchens.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10002-gyuto.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,1,1,,68,gyuto knife,64,1598,no,,8Cr13MoV Rosewood Gyuto 200 mm Wholesale Knife,Wholesale 8Cr13MoV gyuto knife with 200 mm blade and rosewood handle. Durable and sharp for commercial use. Order wholesale today.
1896,simple,,,8Cr13MoV Rosewood Gyuto 200 mm LKJGY10003,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel for excellent edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Rosewood handle offers a comfortable, traditional grip for professional use.</li><li><strong>Versatility:</strong> 200 mm gyuto blade ideal for slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>8Cr13MoV Rosewood Gyuto 200 mm LKJGY10003</h2><p>This gyuto knife features a 200 mm blade crafted from 8Cr13MoV steel, known for its balanced hardness and stain resistance. The rosewood handle adds a touch of tradition while providing a comfortable grip for extended use. Designed for wholesale buyers, this knife is ideal for retailers and distributors seeking reliable Japanese kitchen knives for professional kitchens. Its versatile blade excels at slicing, dicing, and chopping, making it a staple for any commercial environment. The steel ensures long-lasting sharpness, reducing the need for frequent sharpening. Perfect for bulk orders, this gyuto combines durability with performance to meet the demands of high-volume cooking. Stock this essential kitchen accessory for your B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel for superior edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Rosewood handle for a comfortable, traditional grip.</li><li><strong>Versatility:</strong> Ideal for slicing, dicing, and chopping in commercial kitchens.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10003-gyuto.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,68,gyuto knife,64,1598,no,,8Cr13MoV Rosewood Gyuto 200 mm Wholesale Knife,Wholesale 8Cr13MoV gyuto knife with 200 mm blade and rosewood handle. Durable and sharp for commercial use. Order wholesale today.
1897,simple,,,8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm LKJGY10009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Design:</strong> Kiritsuke gyuto hybrid with 200 mm 8Cr13MoV steel for versatile cutting.</li><li><strong>Handle:</strong> Rosewood handle offers durability and a classic Japanese aesthetic.</li><li><strong>Performance:</strong> Sharp edge retention suitable for slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm LKJGY10009</h2><p>This kiritsuke gyuto knife combines a 200 mm blade from 8Cr13MoV steel with a rosewood handle, offering a hybrid design for professional chefs. The flat profile and sharp tip allow for precise slicing and chopping, making it a versatile tool in commercial kitchens. As a wholesale option, this knife is perfect for retailers and distributors catering to restaurant supply stores. The rosewood handle provides a secure grip, while the steel ensures long-lasting edge retention. Ideal for bulk orders, this Japanese kitchen knife excels at both traditional gyuto tasks and kiritsuke-specific cuts. Enhance your inventory with this durable, high-performance kitchen accessory for B2B clients seeking quality and value.</p><h3>Key Features</h3><ul><li><strong>Blade Design:</strong> Kiritsuke gyuto hybrid for versatile cutting applications.</li><li><strong>Handle:</strong> Rosewood handle for durability and classic look.</li><li><strong>Performance:</strong> Sharp edge retention for efficient bulk food prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,"Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef, Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose",,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10009-kiritsuke-gyuto.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,68,kiritsuke gyuto,64,1598,no,,8Cr13MoV Rosewood Kiritsuke Gyuto 200 mm Wholesale,Wholesale kiritsuke gyuto knife with 200 mm 8Cr13MoV blade and rosewood handle. Versatile for commercial kitchens. Order wholesale today.
1900,simple,,,5Cr15MoV D-Shape Wa Handle Kiritsuke Gyuto 205 mm LKJGY10010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 5Cr15MoV steel offers good edge retention and ease of sharpening for professional use.</li><li><strong>Handle:</strong> D-shape wa handle provides a comfortable, ergonomic grip for precise cutting.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid with 205 mm blade for versatile slicing and chopping.</li></ul>","<h2>5Cr15MoV D-Shape Wa Handle Kiritsuke Gyuto 205 mm LKJGY10010</h2><p>This kiritsuke gyuto knife features a 205 mm blade crafted from 5Cr15MoV steel, known for its balanced hardness and ease of sharpening. The D-shape wa handle offers an ergonomic grip, reducing fatigue during extended use in commercial kitchens. Designed for wholesale buyers, this knife is ideal for retailers and distributors seeking reliable Japanese kitchen knives for professional environments. The hybrid kiritsuke design combines a flat profile with a sharp tip, excelling at both slicing and chopping tasks. The steel ensures good edge retention while being simple to maintain. Perfect for bulk orders, this gyuto is a versatile addition to any kitchen accessory lineup for B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 5Cr15MoV steel for good edge retention and ease of sharpening.</li><li><strong>Handle:</strong> D-shape wa handle for an ergonomic, comfortable grip.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid for versatile slicing and chopping.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel Type</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Wa (Japanese)</td></tr><tr><td>Handle Shape</td><td>D-shape</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,"Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef, Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose",,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10010-kiritsuke-gyuto.jpg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,68,kiritsuke gyuto,64,1598,no,,5Cr15MoV D-Shape Wa Kiritsuke Gyuto 205 mm Wholesale,Wholesale 5Cr15MoV kiritsuke gyuto with 205 mm blade and D-shape wa handle. Ergonomic and versatile for commercial kitchens. Order wholesale today.
1930,simple,,,Damascus Clad 9Cr18Mov Stabilized Wood Wa Handle Gyuto 210 mm LKJGY10004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel offers superior edge retention and a stunning pattern.</li><li><strong>Handle:</strong> Stabilized wood wa handle provides durability and a comfortable grip.</li><li><strong>Performance:</strong> 210 mm gyuto blade ideal for precise slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>Damascus Clad 9Cr18Mov Stabilized Wood Wa Handle Gyuto 210 mm LKJGY10004</h2><p>This gyuto knife features a 210 mm blade with Damascus clad 9Cr18Mov steel, combining high hardness with exceptional edge retention. The stabilized wood wa handle offers durability and a comfortable grip for extended use in professional kitchens. Designed for wholesale buyers, this knife is perfect for retailers and distributors seeking premium Japanese kitchen knives. The Damascus pattern not only enhances aesthetics but also reduces friction during cutting. The 9Cr18Mov steel ensures long-lasting sharpness, ideal for high-volume cooking. Perfect for bulk orders, this gyuto is a top-tier kitchen accessory for B2B clients demanding quality and performance.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov for superior edge retention and aesthetics.</li><li><strong>Handle:</strong> Stabilized wood wa handle for durability and comfort.</li><li><strong>Performance:</strong> 210 mm blade for precise slicing, dicing, and chopping.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel Type</td><td>9Cr18Mov Damascus Clad</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Handle Type</td><td>Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10004-gyuto.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,gyuto knife,64,1598,no,,Damascus 9Cr18Mov Gyuto 210 mm Stabilized Wood Wholesale,Wholesale Damascus clad 9Cr18Mov gyuto knife with 210 mm blade and stabilized wood handle. Premium quality for commercial kitchens. Order wholesale today.
1938,simple,,,Damascus Clad 9Cr18Mov Stabilized Wood Wa Handle Kiritsuke Gyuto 210 mm LKJGY10011,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel for superior edge retention and a striking pattern.</li><li><strong>Handle:</strong> Stabilized wood wa handle offers durability and a comfortable grip.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid with 210 mm blade for versatile cutting tasks.</li></ul>,"<h2>Damascus Clad 9Cr18Mov Stabilized Wood Wa Handle Kiritsuke Gyuto 210 mm LKJGY10011</h2><p>This kiritsuke gyuto knife features a 210 mm blade with Damascus clad 9Cr18Mov steel, combining high hardness with exceptional edge retention. The stabilized wood wa handle offers durability and a comfortable grip for extended use in professional kitchens. Designed for wholesale buyers, this knife is perfect for retailers and distributors seeking premium Japanese kitchen knives. The hybrid kiritsuke design allows for precise slicing and chopping, making it a versatile tool for commercial environments. The Damascus pattern reduces friction and enhances aesthetics. Perfect for bulk orders, this gyuto is a top-tier kitchen accessory for B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov for superior edge retention and aesthetics.</li><li><strong>Handle:</strong> Stabilized wood wa handle for durability and comfort.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid for versatile slicing and chopping.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel Type</td><td>9Cr18Mov Damascus Clad</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Handle Type</td><td>Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,"Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef, Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose",,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10011-kiritsuke-gyuto.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,kiritsuke gyuto,64,1598,no,,Damascus 9Cr18Mov Kiritsuke Gyuto 210 mm Wholesale,Wholesale Damascus clad 9Cr18Mov kiritsuke gyuto with 210 mm blade and stabilized wood handle. Versatile for commercial kitchens. Order wholesale today.
1956,simple,,,9Cr18Mov Clad Steel Stabilized Wood Wa Handle Kiritsuke Gyuto 205 mm LKJGY10012,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 9Cr18Mov clad steel offers excellent edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Stabilized wood wa handle provides durability and a comfortable grip.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid with 205 mm blade for versatile slicing and chopping.</li></ul>,"<h2>9Cr18Mov Clad Steel Stabilized Wood Wa Handle Kiritsuke Gyuto 205 mm LKJGY10012</h2><p>This kiritsuke gyuto knife features a 205 mm blade crafted from 9Cr18Mov clad steel, known for its high hardness and stain resistance. The stabilized wood wa handle offers durability and a comfortable grip for extended use in professional kitchens. Designed for wholesale buyers, this knife is ideal for retailers and distributors seeking reliable Japanese kitchen knives. The hybrid kiritsuke design combines a flat profile with a sharp tip, excelling at both slicing and chopping tasks. The steel ensures long-lasting sharpness, reducing the need for frequent maintenance. Perfect for bulk orders, this gyuto is a versatile addition to any kitchen accessory lineup for B2B clients.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 9Cr18Mov clad steel for excellent edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Stabilized wood wa handle for durability and comfort.</li><li><strong>Design:</strong> Kiritsuke gyuto hybrid for versatile slicing and chopping.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel Type</td><td>9Cr18Mov Clad</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Handle Type</td><td>Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,"Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef, Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose",,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10012-kiristuke-gyuto.jpg,,,,,,,,,0,,Blade Material,9Cr18MoV,0,1,,58,kiritsuke gyuto,64,1598,no,,9Cr18Mov Clad Kiritsuke Gyuto 205 mm Wholesale,Wholesale 9Cr18Mov clad kiritsuke gyuto with 205 mm blade and stabilized wood handle. Durable and sharp for commercial kitchens. Order wholesale today.
1961,simple,,,Damascus Clad 9Cr18Mov Octagonal Stabilized Wood Wa Handle Gyuto 210 mm LKJGY10005,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel for superior edge retention and a striking pattern.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle offers an ergonomic grip for precise cutting.</li><li><strong>Performance:</strong> 210 mm gyuto blade ideal for slicing, dicing, and chopping in bulk food prep.</li></ul>","<h2>Damascus Clad 9Cr18Mov Octagonal Stabilized Wood Wa Handle Gyuto 210 mm LKJGY10005</h2><p>This gyuto knife features a 210 mm blade with Damascus clad 9Cr18Mov steel, combining high hardness with exceptional edge retention. The octagonal stabilized wood wa handle offers an ergonomic grip, reducing fatigue during extended use in professional kitchens. Designed for wholesale buyers, this knife is perfect for retailers and distributors seeking premium Japanese kitchen knives. The Damascus pattern not only enhances aesthetics but also reduces friction during cutting. The 9Cr18Mov steel ensures long-lasting sharpness, ideal for high-volume cooking. Perfect for bulk orders, this gyuto is a top-tier kitchen accessory for B2B clients demanding quality and performance.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov for superior edge retention and aesthetics.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle for an ergonomic grip.</li><li><strong>Performance:</strong> 210 mm blade for precise slicing, dicing, and chopping.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel Type</td><td>9Cr18Mov Damascus Clad</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Handle Shape</td><td>Octagonal</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Gyuto / Chef,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJGY10005-gyuto.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,gyuto knife,64,1598,no,,Damascus Octagonal Gyuto 210 mm Stabilized Wood Wholesale,Wholesale Damascus clad 9Cr18Mov gyuto with 210 mm octagonal stabilized wood handle. Ergonomic and durable for commercial kitchens. Order wholesale today.
