ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
12325,simple,,,10Cr15CoMoV Clad Steel Ebony Handle Kiritsuke 211 mm KKDA0187,1,0,visible,"<h3>Key Features</h3><ul><li><strong>High-Carbon Steel Core:</strong> 10Cr15CoMoV clad steel delivers exceptional edge retention and sharpness for professional use.</li><li><strong>Premium Ebony Handle:</strong> Durable and moisture-resistant ebony wood provides a secure, comfortable grip for extended prep work.</li><li><strong>Versatile Kiritsuke Design:</strong> 211 mm flat-edge blade excels at slicing, dicing, and chopping, ideal for wholesale kitchen supply.</li></ul>","<h2>10Cr15CoMoV Clad Steel Ebony Handle Kiritsuke 211 mm KKDA0187</h2><p>This Kiritsuke knife combines a high-performance 10Cr15CoMoV clad steel core with an elegant ebony handle, making it a standout choice for wholesale buyers seeking premium Japanese kitchen knives. The 211 mm blade offers a versatile flat profile that excels in both push-cutting and rock-chopping, suitable for a wide range of kitchen tasks from slicing fish to dicing vegetables. The clad construction enhances durability while maintaining a sharp, fine edge that professionals demand. Crafted with traditional Japanese techniques, this knife provides excellent balance and control, reducing fatigue during long shifts. For retailers and distributors, this model represents a high-value addition to any culinary knife lineup, appealing to chefs and serious home cooks alike. Order wholesale to stock a reliable, high-performance kiritsuke that meets the needs of modern kitchens.</p><h3>Key Features</h3><ul><li><strong>Steel Core:</strong> 10Cr15CoMoV high-carbon stainless steel for superior edge retention and corrosion resistance.</li><li><strong>Clad Construction:</strong> Durable cladding protects the core while enhancing overall blade strength.</li><li><strong>Ebony Handle:</strong> Premium hardwood handle with a comfortable, ergonomic shape for secure grip.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>211 mm</td></tr><tr><td>Steel</td><td>10Cr15CoMoV Clad</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Blade Style</td><td>Kiritsuke</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0187-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,kiritsuke knife,66,1598,no,,Wholesale Kiritsuke Knife 211 mm Ebony Handle | KKDA0187,High-carbon 10Cr15CoMoV clad steel kiritsuke knife with ebony handle. 211 mm blade for versatile slicing. Ideal for wholesale kitchen supply. Order wholesale today.
12337,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Octagonal Wa Handle Kiritsuke 210 mm KKDA0252,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Damascus Clad Steel:</strong> 10Cr15CoMoV core with Damascus cladding offers stunning aesthetics and exceptional cutting performance.</li><li><strong>Stabilized Wood Octagonal Handle:</strong> Ergonomically designed octagonal wa handle provides a comfortable, slip-resistant grip.</li><li><strong>Professional Kiritsuke Profile:</strong> 210 mm blade ideal for all-purpose slicing, dicing, and chopping in commercial kitchens.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Stabilized Wood Octagonal Wa Handle Kiritsuke 210 mm KKDA0252</h2><p>Elevate your wholesale inventory with this Damascus clad Kiritsuke knife, featuring a 10Cr15CoMoV steel core and a beautifully patterned cladding that showcases Japanese craftsmanship. The 210 mm blade offers a versatile kiritsuke profile, perfect for chefs who require precision in slicing, dicing, and chopping. The octagonal wa handle, crafted from stabilized wood, ensures a balanced and comfortable grip, reducing hand fatigue during prolonged use. This knife combines traditional design with modern materials, making it a premium choice for kitchen supply retailers catering to professional chefs and culinary enthusiasts. The Damascus cladding not only enhances durability but also provides a unique visual appeal that sets this knife apart. Order wholesale to offer your customers a high-performance tool that marries art and function.</p><h3>Key Features</h3><ul><li><strong>Steel Core:</strong> 10Cr15CoMoV high-carbon stainless steel with Damascus cladding for sharpness and beauty.</li><li><strong>Handle Design:</strong> Octagonal wa handle made from stabilized wood for ergonomic comfort.</li><li><strong>Blade Length:</strong> 210 mm kiritsuke profile for versatile kitchen tasks.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Handle Shape</td><td>Octagonal Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0252-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,Damascus kiritsuke,66,1598,no,,Damascus Clad Kiritsuke 210 mm Wood Handle | KKDA0252,Damascus clad 10Cr15CoMoV kiritsuke knife with stabilized wood octagonal handle. 210 mm blade for precision cutting. Order wholesale today.
12345,simple,,,San Mai Octagonal Rosewood Wa Handle Kiritsuke 200 mm Hammered Finish KKDA0466,1,0,visible,"<h3>Key Features</h3><ul><li><strong>San Mai Construction:</strong> Three-layer steel lamination ensures a sharp, durable edge with enhanced toughness.</li><li><strong>Octagonal Rosewood Handle:</strong> Classic rosewood wa handle with octagonal shape for a comfortable, secure grip.</li><li><strong>Hammered Finish:</strong> Traditional tsuchime finish reduces drag and adds visual texture to the 200 mm blade.</li></ul>","<h2>San Mai Octagonal Rosewood Wa Handle Kiritsuke 200 mm Hammered Finish KKDA0466</h2><p>This San Mai Kiritsuke knife features a traditional three-layer steel construction that combines a hard core for edge retention with softer outer layers for flexibility and durability. The 200 mm blade is finished with a hammered (tsuchime) pattern, which not only reduces food sticking but also adds an artisanal touch that appeals to discerning chefs. The octagonal rosewood wa handle provides a natural, ergonomic grip that enhances control during precise cuts. Ideal for wholesale kitchen supply distributors, this knife suits a variety of culinary applications from slicing vegetables to portioning proteins. Its balanced design and premium materials make it a reliable choice for professional kitchens. Stock this model to offer your customers a blend of traditional Japanese craftsmanship and modern performance at a competitive wholesale price.</p><h3>Key Features</h3><ul><li><strong>Construction:</strong> San Mai (three-layer) lamination for optimal balance of hardness and toughness.</li><li><strong>Finish:</strong> Hammered (tsuchime) finish to reduce sticking and enhance aesthetics.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle for comfortable, slip-resistant grip.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0466-custom.jpg,,,,,,,,,0,,,,,,,10,San Mai kiritsuke,66,1598,no,,San Mai Kiritsuke 200 mm Hammered Rosewood Handle | KKDA0466,San Mai kiritsuke knife with hammered finish and octagonal rosewood handle. 200 mm blade for versatile cutting. Order wholesale today.
12353,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Kiritsuke 211 mm Hammered Finish KKDA0448,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Damascus Clad 10Cr15CoMoV:</strong> High-performance steel core with decorative Damascus cladding for exceptional sharpness.</li><li><strong>Ebony Handle:</strong> Premium ebony wood handle offers durability and a refined, professional appearance.</li><li><strong>Hammered Finish:</strong> 211 mm blade with tsuchime finish reduces friction and enhances visual appeal.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Ebony Handle Kiritsuke 211 mm Hammered Finish KKDA0448</h2><p>Combine beauty and performance with this Damascus clad Kiritsuke knife, featuring a 10Cr15CoMoV steel core and a hammered finish that minimizes sticking while cutting. The 211 mm blade is ideal for a variety of kitchen tasks, from slicing sashimi to chopping vegetables, making it a versatile addition to any professional kitchen. The ebony handle provides a sturdy, moisture-resistant grip that complements the blade's balance. This knife is perfect for wholesale buyers looking to offer a premium Japanese kitchen accessory that stands out on the shelf. The Damascus pattern and hammered texture create a unique aesthetic that appeals to chefs and collectors alike. Order wholesale to add a high-end kiritsuke to your product line, backed by reliable craftsmanship and durable materials.</p><h3>Key Features</h3><ul><li><strong>Steel Core:</strong> 10Cr15CoMoV with Damascus cladding for superior edge retention.</li><li><strong>Handle:</strong> Ebony wood handle for a comfortable, secure grip.</li><li><strong>Blade Finish:</strong> Hammered (tsuchime) finish to reduce drag and improve cutting efficiency.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>211 mm</td></tr><tr><td>Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Blade Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0448-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,Damascus kiritsuke,66,1598,no,,Damascus Clad Kiritsuke 211 mm Ebony Hammered | KKDA0448,Damascus clad 10Cr15CoMoV kiritsuke with ebony handle and hammered finish. 211 mm blade for precision cutting. Order wholesale today.
12362,simple,,,5Cr15MoV Stabilized Wood Kiritsuke 233 mm Hammered Finish KKDA0104,1,0,visible,"<h3>Key Features</h3><ul><li><strong>5Cr15MoV Steel:</strong> Reliable stainless steel blade offers good edge retention and corrosion resistance.</li><li><strong>Stabilized Wood Handle:</strong> Durable, stabilized wood handle provides a comfortable and secure grip.</li><li><strong>Hammered Finish:</strong> 233 mm blade with tsuchime finish enhances cutting performance and aesthetics.</li></ul>","<h2>5Cr15MoV Stabilized Wood Kiritsuke 233 mm Hammered Finish KKDA0104</h2><p>This Kiritsuke knife features a 5Cr15MoV stainless steel blade, known for its balance of hardness and ease of sharpening, making it a practical choice for busy commercial kitchens. The 233 mm length provides extended reach for slicing large cuts of meat or vegetables, while the hammered finish reduces sticking and adds a traditional Japanese aesthetic. The stabilized wood handle is treated for moisture resistance, ensuring longevity even with frequent use. Ideal for wholesale kitchen supply retailers, this knife offers a cost-effective option without compromising on quality. Its versatile kiritsuke profile suits a range of tasks, from fine slicing to heavy chopping. Stock this model to meet the demands of chefs who value both performance and value in their kitchen tools.</p><h3>Key Features</h3><ul><li><strong>Steel:</strong> 5Cr15MoV stainless steel for reliable sharpness and corrosion resistance.</li><li><strong>Handle:</strong> Stabilized wood handle for durability and comfort.</li><li><strong>Blade Finish:</strong> Hammered finish to prevent food from sticking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>233 mm</td></tr><tr><td>Steel</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Blade Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0104.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,kiritsuke knife,66,1598,no,,5Cr15MoV Kiritsuke 233 mm Hammered Wood Handle | KKDA0104,5Cr15MoV stainless steel kiritsuke knife with stabilized wood handle and hammered finish. 233 mm blade. Order wholesale today.
12363,simple,,,5Cr15MoV Pakkawood Kiritsuke 205 mm Hammered Finish KKDA0253,1,0,visible,"<h3>Key Features</h3><ul><li><strong>5Cr15MoV Steel:</strong> Durable stainless steel blade ensures long-lasting sharpness and easy maintenance.</li><li><strong>Pakkawood Handle:</strong> Moisture-resistant pakkawood handle offers a comfortable, non-slip grip.</li><li><strong>Hammered Finish:</strong> 205 mm blade with tsuchime finish reduces drag during cutting.</li></ul>","<h2>5Cr15MoV Pakkawood Kiritsuke 205 mm Hammered Finish KKDA0253</h2><p>This Kiritsuke knife combines a 5Cr15MoV stainless steel blade with a practical pakkawood handle, making it an excellent choice for wholesale buyers seeking affordable yet high-quality kitchen tools. The 205 mm blade features a hammered finish that minimizes food sticking and adds a touch of traditional craftsmanship. Pakkawood is a durable, resin-impregnated material that resists moisture and wear, ensuring a long service life. This knife is versatile enough for slicing, dicing, and chopping, suiting a variety of culinary applications. For retailers and distributors, this model offers a reliable option for customers who want a professional-grade kiritsuke at a competitive price point. Order wholesale to expand your kitchen accessories lineup with a knife that delivers consistent performance.</p><h3>Key Features</h3><ul><li><strong>Steel:</strong> 5Cr15MoV stainless steel for good edge retention and rust resistance.</li><li><strong>Handle:</strong> Pakkawood handle for durability and comfortable grip.</li><li><strong>Blade Finish:</strong> Hammered finish to enhance cutting efficiency.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Blade Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0253.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,pakkawood kiritsuke,66,1598,no,,5Cr15MoV Pakkawood Kiritsuke 205 mm Hammered | KKDA0253,5Cr15MoV kiritsuke knife with pakkawood handle and hammered finish. 205 mm blade for versatile cutting. Order wholesale today.
12458,simple,,,5Cr15MoV Pakkawood Kiritsuke 212 mm KKDA0240,1,0,visible,"<h3>Key Features</h3><ul><li><strong>5Cr15MoV Steel:</strong> Reliable stainless steel blade offers consistent sharpness and easy sharpening.</li><li><strong>Pakkawood Handle:</strong> Durable, moisture-resistant handle provides a secure grip for all-day use.</li><li><strong>Classic Kiritsuke Profile:</strong> 212 mm blade suitable for slicing, dicing, and chopping in professional kitchens.</li></ul>","<h2>5Cr15MoV Pakkawood Kiritsuke 212 mm KKDA0240</h2><p>This Kiritsuke knife features a 5Cr15MoV stainless steel blade paired with a pakkawood handle, offering a practical and durable solution for wholesale kitchen supply. The 212 mm blade provides a versatile length for various tasks, from fine slicing to heavy chopping, making it a valuable tool in any commercial kitchen. Pakkawood is known for its resistance to moisture and wear, ensuring the handle remains comfortable and secure over time. This knife is an excellent addition to your inventory for customers seeking a reliable, all-purpose Japanese kitchen knife at an accessible price. Its straightforward design and robust construction make it a popular choice among chefs who need performance without extra frills. Order wholesale to meet the demand for functional, high-value kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Steel:</strong> 5Cr15MoV stainless steel for balanced performance and durability.</li><li><strong>Handle:</strong> Pakkawood handle for moisture resistance and comfort.</li><li><strong>Blade Length:</strong> 212 mm kiritsuke blade for versatile use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>212 mm</td></tr><tr><td>Steel</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0240.jpg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,kiritsuke knife,66,1598,no,,5Cr15MoV Pakkawood Kiritsuke 212 mm | KKDA0240,5Cr15MoV stainless steel kiritsuke knife with pakkawood handle. 212 mm blade for all-purpose cutting. Order wholesale today.
12460,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Handle Kiritsuke 210 mm KKDA0347,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Damascus Clad 10Cr15CoMoV:</strong> Premium steel core with decorative Damascus layers for exceptional sharpness and edge retention.</li><li><strong>Stabilized Wood Handle:</strong> Durable, stabilized wood handle offers a comfortable and secure grip.</li><li><strong>Versatile Kiritsuke Blade:</strong> 210 mm profile suitable for slicing, dicing, and chopping in professional kitchens.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Stabilized Wood Handle Kiritsuke 210 mm KKDA0347</h2><p>This Damascus clad Kiritsuke knife features a 10Cr15CoMoV steel core, combining high hardness with beautiful Damascus patterning that appeals to discerning chefs. The 210 mm blade is designed for versatility, handling everything from delicate fish slicing to robust vegetable chopping. The stabilized wood handle is treated to resist moisture and warping, providing a reliable grip even in demanding kitchen environments. For wholesale buyers, this knife represents a premium option that stands out in the kitchen accessories market. Its balanced construction and traditional aesthetics make it a favorite among professionals who value both form and function. Stock this model to offer your customers a high-end kiritsuke that delivers consistent performance and visual appeal.</p><h3>Key Features</h3><ul><li><strong>Steel Core:</strong> 10Cr15CoMoV with Damascus cladding for superior cutting performance.</li><li><strong>Handle:</strong> Stabilized wood handle for durability and comfort.</li><li><strong>Blade Length:</strong> 210 mm kiritsuke blade for versatile kitchen tasks.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0347.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,Damascus kiritsuke,66,1598,no,,Damascus Clad Kiritsuke 210 mm Stabilized Wood | KKDA0347,Damascus clad 10Cr15CoMoV kiritsuke knife with stabilized wood handle. 210 mm blade for precision cutting. Order wholesale today.
12462,simple,,,5Cr15MoV Rosewood Handle Kiritsuke 230 mm KKDA0400,1,0,visible,"<h3>Key Features</h3><ul><li><strong>5Cr15MoV Steel:</strong> Durable stainless steel blade offers reliable sharpness and easy maintenance.</li><li><strong>Rosewood Handle:</strong> Classic rosewood handle provides a comfortable, traditional grip.</li><li><strong>Long Kiritsuke Blade:</strong> 230 mm length ideal for slicing large cuts of meat or vegetables.</li></ul>","<h2>5Cr15MoV Rosewood Handle Kiritsuke 230 mm KKDA0400</h2><p>This Kiritsuke knife features a 5Cr15MoV stainless steel blade and a classic rosewood handle, offering a traditional yet functional tool for professional kitchens. The 230 mm blade provides extended reach, making it ideal for slicing large roasts, fish, or vegetables with precision. Rosewood is a durable hardwood that offers a natural, comfortable grip that improves with use. This knife is a practical addition to any wholesale kitchen supply lineup, appealing to chefs who appreciate classic materials and reliable performance. Its simple, elegant design makes it a versatile choice for a range of culinary tasks. Order wholesale to provide your customers with a high-value kiritsuke that combines traditional aesthetics with modern steel technology.</p><h3>Key Features</h3><ul><li><strong>Steel:</strong> 5Cr15MoV stainless steel for balanced performance and corrosion resistance.</li><li><strong>Handle:</strong> Rosewood handle for a comfortable, secure grip.</li><li><strong>Blade Length:</strong> 230 mm kiritsuke blade for extended cutting capacity.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>230 mm</td></tr><tr><td>Steel</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0400-e1702965487242.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,kiritsuke knife,0,1598,no,,5Cr15MoV Rosewood Kiritsuke 230 mm | KKDA0400,5Cr15MoV stainless steel kiritsuke knife with rosewood handle. 230 mm blade for large slicing tasks. Order wholesale today.
12464,simple,,,San Mai Rosewood Kiritsuke 205 mm KKDA0085,1,0,visible,"<h3>Key Features</h3><ul><li><strong>San Mai Construction:</strong> Three-layer steel lamination ensures a sharp, durable edge with enhanced flexibility.</li><li><strong>Rosewood Handle:</strong> Classic rosewood handle provides a comfortable, traditional grip.</li><li><strong>Compact Kiritsuke Blade:</strong> 205 mm length ideal for precise slicing and chopping in smaller kitchens.</li></ul>","<h2>San Mai Rosewood Kiritsuke 205 mm KKDA0085</h2><p>This San Mai Kiritsuke knife features a traditional three-layer steel construction, combining a hard core for edge retention with softer outer layers for toughness. The 205 mm blade is compact yet versatile, suitable for a variety of kitchen tasks from slicing vegetables to portioning proteins. The rosewood handle offers a natural, comfortable grip that enhances control and reduces fatigue. Ideal for wholesale kitchen supply retailers, this knife appeals to chefs who value traditional Japanese craftsmanship and reliable performance. Its balanced design and premium materials make it a dependable choice for professional use. Stock this model to offer your customers a high-quality kiritsuke at a competitive wholesale price, backed by San Mai durability.</p><h3>Key Features</h3><ul><li><strong>Construction:</strong> San Mai lamination for optimal balance of hardness and toughness.</li><li><strong>Handle:</strong> Rosewood handle for a comfortable, secure grip.</li><li><strong>Blade Length:</strong> 205 mm kiritsuke blade for versatile cutting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Kiritsuke / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0085-custom.jpg,,,,,,,,,0,,,,,,,10,San Mai kiritsuke,66,1598,no,,San Mai Rosewood Kiritsuke 205 mm | KKDA0085,San Mai kiritsuke knife with rosewood handle. 205 mm blade for precise cutting. Order wholesale today.
