ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
10127,simple,,,Damascus Clad Rosewood Fixed Blade Knife LKFBK10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> Damascus clad steel for a unique patterned appearance and excellent edge retention.</li><li><strong>Handle:</strong> Rosewood scales offer a classic, comfortable grip with natural aesthetics.</li><li><strong>Construction:</strong> Full tang fixed blade design ensures durability and reliability for outdoor use.</li></ul>","<h2>Damascus Clad Rosewood Fixed Blade Knife LKFBK10001</h2><p>This fixed blade knife features a Damascus clad blade, combining the beauty of patterned steel with functional performance. The rosewood handle provides a secure, ergonomic grip, making it ideal for outdoor tasks and EDC carry. Crafted with a full tang construction, this knife offers exceptional strength and balance for demanding applications. Available for wholesale and bulk order, this model is a premium addition to any outdoor gear or EDC retailer's inventory. The Damascus pattern is unique to each knife, ensuring a one-of-a-kind piece for your customers. Perfect for hunting, camping, and everyday utility, this knife delivers both style and substance.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad steel with high carbon core for sharpness and edge retention.</li><li><strong>Handle Material:</strong> Rosewood with contoured shape for comfort and control.</li><li><strong>Sheath:</strong> Includes a durable sheath for safe carry and storage.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Damascus-Clad-Rosewood-Fixed-Blade-Knife-LKFBK10001.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10001-1.jpg",,,,,,,,,0,,,,,,,11,Damascus fixed blade,145,9705,no,,Damascus Clad Rosewood Fixed Blade Knife Wholesale,Premium Damascus clad fixed blade knife with rosewood handle. Full tang construction for durability. Perfect for outdoor retailers. Order wholesale today.
10139,simple,,,8Cr13MoV PA6 Fixed Blade Knife LKFBK10002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel offers good edge retention and corrosion resistance.</li><li><strong>Handle:</strong> PA6 (nylon) scales provide a lightweight, textured grip for secure handling.</li><li><strong>Design:</strong> Full tang fixed blade with a practical profile suitable for EDC and outdoor tasks.</li></ul>","<h2>8Cr13MoV PA6 Fixed Blade Knife LKFBK10002</h2><p>This fixed blade knife is crafted from 8Cr13MoV stainless steel, a reliable choice for everyday cutting tasks. The PA6 (nylon) handle scales offer a durable, lightweight, and slip-resistant grip, enhancing control in wet conditions. The full tang construction ensures the knife can handle rigorous use, making it a practical tool for camping, hiking, or general utility. Ideal for wholesale and bulk orders to outdoor gear and EDC retailers, this knife combines functionality with cost-effectiveness. The blade's corrosion resistance and ease of sharpening make it a low-maintenance option for end-users. Add this model to your inventory for a dependable fixed blade solution.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel for balanced performance.</li><li><strong>Handle Material:</strong> PA6 nylon with textured finish for grip.</li><li><strong>Sheath:</strong> Comes with a sheath for convenient carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>PA6 Nylon</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-PA6-Fixed-Blade-Knife-LKFBK10002.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10002-1.jpg",,,,,,,,,0,,,,,,,11,8Cr13MoV fixed blade,145,9705,no,,8Cr13MoV PA6 Fixed Blade Knife Wholesale,"Durable 8Cr13MoV fixed blade knife with PA6 handle. Full tang, lightweight, and ideal for EDC. Perfect for bulk orders. Order wholesale today."
10147,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10003,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel for dependable cutting performance.</li><li><strong>Handle:</strong> Pakkawood scales offer a warm, polished look with a comfortable grip.</li><li><strong>Build:</strong> Full tang construction provides strength and balance for outdoor use.</li></ul>","<h2>8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10003</h2><p>This fixed blade knife features an 8Cr13MoV stainless steel blade, known for its good edge retention and ease of sharpening. The Pakkawood handle scales provide an attractive, stabilized wood appearance with a smooth, ergonomic feel. Full tang construction ensures the knife is robust enough for hunting, camping, and general outdoor tasks. Available for wholesale and bulk orders, this model appeals to retailers seeking a blend of traditional aesthetics and modern materials. The Pakkawood handle resists moisture and wear, adding longevity. Ideal for EDC and outdoor enthusiasts who appreciate classic style with reliable performance.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV stainless steel.</li><li><strong>Handle Material:</strong> Pakkawood for durability and elegance.</li><li><strong>Sheath:</strong> Includes a protective sheath for safe storage.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-Pakkawood-Fixed-Blade-Knife-LKFBK10003.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10003-1.jpg",,,,,,,,,0,,,,,,,11,Pakkawood fixed blade,145,9705,no,,8Cr13MoV Pakkawood Fixed Blade Knife Wholesale,Classic 8Cr13MoV fixed blade knife with Pakkawood handle. Full tang for strength. Great for outdoor retailers. Order wholesale today.
10155,simple,,,8Cr13MoV G10 Fixed Blade Knife LKFBK10004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel with a durable, corrosion-resistant edge.</li><li><strong>Handle:</strong> G10 scales provide a lightweight, textured grip that is slip-resistant.</li><li><strong>Design:</strong> Full tang fixed blade optimized for tactical and EDC applications.</li></ul>","<h2>8Cr13MoV G10 Fixed Blade Knife LKFBK10004</h2><p>This fixed blade knife combines an 8Cr13MoV stainless steel blade with G10 handle scales, offering a modern, tactical aesthetic. G10 is a high-pressure fiberglass laminate known for its strength, light weight, and excellent grip even in wet conditions. The full tang construction ensures the knife can withstand heavy use, making it suitable for outdoor survival, camping, and everyday carry. Ideal for wholesale and bulk orders to sporting goods and tactical gear retailers, this model provides a cost-effective yet high-performance option. The blade's 8Cr13MoV steel is easy to sharpen and maintains a sharp edge through repeated use.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel.</li><li><strong>Handle Material:</strong> G10 with textured surface for secure handling.</li><li><strong>Sheath:</strong> Comes with a sheath for convenient carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-G10-Fixed-Blade-Knife-LKFBK10004.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFBK10004-1.jpg",,,,,,,,,0,,,,,,,11,G10 fixed blade,145,9705,no,,8Cr13MoV G10 Fixed Blade Knife Wholesale,"Tactical 8Cr13MoV fixed blade knife with G10 handle. Lightweight, full tang, and slip-resistant. Perfect for bulk orders. Order wholesale today."
11876,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10005,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel for reliable cutting performance.</li><li><strong>Handle:</strong> Pakkawood scales offer a classic, warm feel with durability.</li><li><strong>Construction:</strong> Full tang fixed blade ensures strength and stability.</li></ul>","<h2>8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10005</h2><p>This fixed blade knife features an 8Cr13MoV stainless steel blade, a popular choice for its balance of hardness and corrosion resistance. The Pakkawood handle scales provide an attractive, stabilized wood appearance that is both comfortable and durable. Full tang construction makes this knife reliable for outdoor tasks like hunting, camping, and general utility. Available for wholesale and bulk orders, this model is a great addition for retailers offering traditional-styled knives. The Pakkawood material resists moisture and cracking, ensuring long-lasting performance. Ideal for customers who appreciate the look of wood with modern material benefits.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV stainless steel.</li><li><strong>Handle Material:</strong> Pakkawood for a classic grip.</li><li><strong>Sheath:</strong> Includes a protective sheath for storage and carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10005.jpg,,,,,,,,,0,,,,,,,11,Pakkawood fixed blade,145,9705,no,,8Cr13MoV Pakkawood Fixed Blade Knife Wholesale,Reliable 8Cr13MoV fixed blade knife with Pakkawood handle. Full tang and classic style. Ideal for outdoor retailers. Order wholesale today.
11877,simple,,,8Cr13MoV Rosewood Fixed Blade Knife LKFBK10006,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel for dependable edge retention.</li><li><strong>Handle:</strong> Rosewood scales provide a natural, comfortable grip.</li><li><strong>Build:</strong> Full tang construction offers strength and balance for outdoor use.</li></ul>","<h2>8Cr13MoV Rosewood Fixed Blade Knife LKFBK10006</h2><p>This fixed blade knife features an 8Cr13MoV stainless steel blade, offering good corrosion resistance and ease of sharpening. The rosewood handle scales provide a warm, natural aesthetic with a comfortable, ergonomic grip. Full tang construction ensures the knife is durable and well-balanced, suitable for hunting, camping, and everyday carry. Available for wholesale and bulk orders, this model appeals to retailers looking for a classic wood-handled knife with modern steel performance. The rosewood is treated for durability and moisture resistance. Perfect for customers who value traditional craftsmanship in their EDC tools.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV stainless steel.</li><li><strong>Handle Material:</strong> Rosewood for a classic feel.</li><li><strong>Sheath:</strong> Comes with a sheath for safe carrying.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10006.jpg,,,,,,,,,0,,,,,,,11,Rosewood fixed blade,145,9705,no,,8Cr13MoV Rosewood Fixed Blade Knife Wholesale,Classic 8Cr13MoV fixed blade knife with rosewood handle. Full tang for durability. Great for outdoor gear retailers. Order wholesale today.
11878,simple,,,8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10007,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 8Cr13MoV stainless steel for balanced cutting performance.</li><li><strong>Handle:</strong> Pakkawood scales offer a polished, durable grip.</li><li><strong>Design:</strong> Full tang fixed blade ensures strength and longevity.</li></ul>","<h2>8Cr13MoV Pakkawood Fixed Blade Knife LKFBK10007</h2><p>This fixed blade knife is built with an 8Cr13MoV stainless steel blade, a reliable workhorse for various cutting tasks. The Pakkawood handle scales combine the beauty of natural wood with enhanced durability and moisture resistance. Full tang construction provides the necessary strength for demanding outdoor use, such as hunting and camping. Available for wholesale and bulk orders, this model is an excellent choice for retailers seeking a traditional look with modern reliability. The Pakkawood handle is comfortable and secure, even during extended use. Add this knife to your inventory for customers who appreciate classic design and dependable performance.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV stainless steel.</li><li><strong>Handle Material:</strong> Pakkawood for a classic, stable grip.</li><li><strong>Sheath:</strong> Includes a sheath for convenient carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,https://img.leeknives.com/wp-content/uploads/2023/10/LKFBK10007.jpg,,,,,,,,,0,,,,,,,11,Pakkawood fixed blade,145,9705,no,,8Cr13MoV Pakkawood Fixed Blade Knife Wholesale,"Durable 8Cr13MoV fixed blade knife with Pakkawood handle. Full tang, classic style. Ideal for bulk orders. Order wholesale today."
14163,simple,,,D2 Steel Fixed Blade Knife LKFBK10008,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade:</strong> D2 tool steel for high wear resistance and edge retention.</li><li><strong>Handle:</strong> Durable handle material (specific type not specified) for a secure grip.</li><li><strong>Construction:</strong> Full tang fixed blade designed for heavy-duty use.</li></ul>,"<h2>D2 Steel Fixed Blade Knife LKFBK10008</h2><p>This fixed blade knife features a D2 tool steel blade, known for its exceptional hardness and ability to hold a sharp edge for extended periods. D2 steel offers superior wear resistance, making it ideal for demanding cutting tasks in outdoor and tactical environments. The full tang construction ensures the knife can withstand rigorous use without failure. Available for wholesale and bulk orders, this model is a premium option for retailers catering to serious outdoorsmen and EDC enthusiasts. The knife is designed for reliability and performance, offering long-term value. Add this D2 steel fixed blade to your product lineup for a high-performance tool.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> D2 tool steel for superior edge retention.</li><li><strong>Handle:</strong> Robust handle material for a secure hold.</li><li><strong>Sheath:</strong> Comes with a sheath for safe storage and carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>D2 Tool Steel</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10008-6.jpg",,,,,,,,,0,,,,,,,11,D2 fixed blade,145,9705,no,,D2 Steel Fixed Blade Knife Wholesale,High-performance D2 steel fixed blade knife with full tang construction. Exceptional edge retention for heavy use. Order wholesale today.
14164,simple,,,DC53 G10 Fixed Blade Knife LKFBK10009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> DC53 steel for high toughness and wear resistance.</li><li><strong>Handle:</strong> G10 scales provide a lightweight, textured grip.</li><li><strong>Design:</strong> Full tang fixed blade suitable for tactical and outdoor use.</li></ul>","<h2>DC53 G10 Fixed Blade Knife LKFBK10009</h2><p>This fixed blade knife utilizes DC53 steel, a high-performance tool steel known for its excellent toughness and wear resistance, making it ideal for demanding cutting tasks. The G10 handle scales offer a secure, slip-resistant grip even in wet conditions, and are lightweight for easy carry. Full tang construction ensures the knife can handle heavy-duty applications, from camping to tactical use. Available for wholesale and bulk orders, this model is a premium choice for retailers targeting outdoor and EDC markets. The DC53 steel maintains a sharp edge longer than many standard steels, providing superior performance. Add this knife to your inventory for customers who demand the best.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> DC53 steel for high toughness and edge retention.</li><li><strong>Handle Material:</strong> G10 with textured surface for secure grip.</li><li><strong>Sheath:</strong> Includes a sheath for convenient carry.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>DC53</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-5.png, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10009-7.jpg",,,,,,,,,0,,,,,,,11,DC53 fixed blade,145,9705,no,,DC53 G10 Fixed Blade Knife Wholesale,Premium DC53 steel fixed blade knife with G10 handle. High toughness and edge retention for heavy use. Order wholesale today.
14165,simple,,,440C G10 Fixed Blade Knife LKFBK10010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade:</strong> 440C stainless steel for excellent corrosion resistance and hardness.</li><li><strong>Handle:</strong> G10 scales provide a durable, lightweight, textured grip.</li><li><strong>Construction:</strong> Full tang fixed blade for strength and reliability.</li></ul>","<h2>440C G10 Fixed Blade Knife LKFBK10010</h2><p>This fixed blade knife features a 440C stainless steel blade, a high-carbon alloy known for its excellent hardness and corrosion resistance. The G10 handle scales offer a sturdy, lightweight grip with a textured surface that ensures control in various conditions. Full tang construction provides the strength needed for outdoor and tactical applications. Available for wholesale and bulk orders, this model is a reliable choice for retailers offering high-quality EDC and outdoor gear. 440C steel holds a sharp edge well and resists rust, making it low-maintenance for end-users. Add this knife to your lineup for a durable, performance-driven option.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 440C stainless steel for hardness and corrosion resistance.</li><li><strong>Handle Material:</strong> G10 with textured finish for secure handling.</li><li><strong>Sheath:</strong> Comes with a sheath for safe storage.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>440C</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Construction</td><td>Full Tang</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10010-1.jpg",,,,,,,,,0,,,,,,,11,440C fixed blade,145,9705,no,,440C G10 Fixed Blade Knife Wholesale,High-quality 440C stainless steel fixed blade knife with G10 handle. Excellent corrosion resistance and hardness. Order wholesale today.
