ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
1875,simple,,,8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Santoku 175 mm LKJSO10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV clad steel offers excellent edge retention and corrosion resistance for professional kitchen use.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle provides a comfortable, secure grip for precision cutting.</li><li><strong>Size:</strong> 175 mm blade length ideal for all-purpose slicing, dicing, and chopping tasks.</li></ul>","<h2>8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Santoku 175 mm</h2><p>This 8Cr13MoV clad steel Santoku knife features a traditional Japanese wa handle in octagonal rosewood, offering a balanced and ergonomic grip for professional chefs. The 175 mm blade is versatile for slicing, dicing, and chopping vegetables, fish, and meat. The clad steel construction ensures durability and sharpness retention, making it a reliable choice for high-volume kitchen environments. Ideal for wholesale buyers seeking quality Japanese kitchen knives for retail or restaurant supply. This santoku knife is a practical addition to any kitchen accessory lineup, combining traditional craftsmanship with modern steel performance.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV clad steel for excellent edge stability and corrosion resistance.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle for a secure, comfortable hold.</li><li><strong>Blade Length:</strong> 175 mm, suitable for all-purpose cutting tasks.</li><li><strong>Design:</strong> Traditional Santoku profile for precision and versatility.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV Clad</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>175 mm</td></tr><tr><td>Handle Shape</td><td>Octagonal Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10001-santoku.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,65,santoku knife,65,1598,no,,8Cr13MoV Clad Rosewood Wa Santoku 175 mm – Wholesale,"Professional 8Cr13MoV clad steel Santoku knife with octagonal rosewood wa handle, 175 mm blade. Ideal for bulk orders. Order wholesale today."
1881,simple,,,8Cr13MoV Rosewood Santoku 170 mm LKJSO10002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel ensures high hardness and edge retention for daily kitchen tasks.</li><li><strong>Handle:</strong> Rosewood handle offers a classic, durable grip with natural aesthetics.</li><li><strong>Size:</strong> 170 mm blade length perfect for all-purpose use in commercial kitchens.</li></ul>","<h2>8Cr13MoV Rosewood Santoku 170 mm</h2><p>This 8Cr13MoV Rosewood Santoku knife features a 170 mm blade crafted from durable 8Cr13MoV steel, known for its balance of hardness and corrosion resistance. The rosewood handle provides a comfortable, non-slip grip, making it suitable for extended use in busy kitchens. This Japanese-style all-purpose knife excels at slicing, dicing, and chopping a variety of ingredients. For wholesale buyers, this santoku knife offers excellent value for retailers and distributors looking to stock reliable kitchen accessories. Its classic design and robust construction make it a popular choice for both professional chefs and culinary enthusiasts.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 8Cr13MoV stainless steel for sharpness and durability.</li><li><strong>Handle:</strong> Rosewood handle with a comfortable, secure feel.</li><li><strong>Blade Length:</strong> 170 mm for versatile cutting applications.</li><li><strong>Design:</strong> Traditional Santoku profile with a sleek finish.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>170 mm</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10002-santoku.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,1,1,,68,santoku knife,65,1598,no,,8Cr13MoV Rosewood Santoku 170 mm – Wholesale,"Durable 8Cr13MoV steel Santoku knife with rosewood handle, 170 mm blade. Ideal for wholesale bulk orders. Order wholesale today."
1958,simple,,,Damascus Clad 10Cr18Mov Octagonal Stabilized Wood Wa Handle Santoku 180 mm LKJSO10003,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr18Mov steel offers exceptional sharpness and a striking pattern.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle ensures durability and comfort.</li><li><strong>Size:</strong> 180 mm blade length for precise all-purpose cutting.</li></ul>,"<h2>Damascus Clad 10Cr18Mov Octagonal Stabilized Wood Wa Handle Santoku 180 mm</h2><p>This Damascus clad Santoku knife features a 10Cr18Mov steel core with a beautiful Damascus pattern, providing both aesthetic appeal and high performance. The 180 mm blade is ideal for versatile kitchen tasks, from slicing vegetables to cutting meat. The octagonal stabilized wood wa handle offers a secure grip and long-lasting durability, making it a favorite among professional chefs. This knife is perfect for wholesale buyers looking to offer premium Japanese kitchen knives. The Damascus construction enhances edge retention and corrosion resistance, ensuring reliability in busy kitchens. A top choice for retailers and distributors specializing in kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr18Mov steel for sharpness and pattern.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle for comfort and stability.</li><li><strong>Blade Length:</strong> 180 mm for all-purpose precision cutting.</li><li><strong>Design:</strong> Damascus pattern with high-performance core.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr18Mov</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Handle Shape</td><td>Octagonal Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10003-santoku.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,64,santoku knife,65,,no,0,Damascus Clad 10Cr18Mov Santoku 180 mm – Wholesale,"Premium Damascus clad Santoku knife with 10Cr18Mov steel and stabilized wood handle, 180 mm. Perfect for bulk orders. Order wholesale today."
1964,simple,,,Damascus Clad 9Cr18Mov Oval Stabilized Wood Santoku 180 mm LKJSO10004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel for excellent edge retention and a unique pattern.</li><li><strong>Handle:</strong> Oval stabilized wood handle offers a comfortable, ergonomic grip.</li><li><strong>Size:</strong> 180 mm blade length suitable for all kitchen cutting tasks.</li></ul>","<h2>Damascus Clad 9Cr18Mov Oval Stabilized Wood Santoku 180 mm</h2><p>This Damascus clad Santoku knife features a 9Cr18Mov steel core, known for its high hardness and corrosion resistance, wrapped in a striking Damascus pattern. The 180 mm blade is designed for precision slicing, dicing, and chopping, making it a versatile tool for any kitchen. The oval stabilized wood handle provides a comfortable, non-slip grip, reducing fatigue during extended use. Ideal for wholesale distributors, this Japanese kitchen knife combines traditional craftsmanship with modern materials. Its durability and performance make it a valuable addition to any kitchen accessory lineup. Perfect for retailers seeking high-quality santoku knives for bulk orders.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 9Cr18Mov steel for sharpness and pattern.</li><li><strong>Handle:</strong> Oval stabilized wood handle for comfort and control.</li><li><strong>Blade Length:</strong> 180 mm for versatile cutting.</li><li><strong>Design:</strong> Damascus pattern with high-carbon steel core.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 9Cr18Mov</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Handle Shape</td><td>Oval</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJSO10004-santoku.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,santoku knife,65,1598,no,,Damascus Clad 9Cr18Mov Santoku 180 mm – Wholesale,"High-performance Damascus clad Santoku knife with 9Cr18Mov steel and oval stabilized wood handle, 180 mm. Order wholesale today."
12321,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Santoku 180 mm KKDA0052,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel offers superior edge retention and a beautiful pattern.</li><li><strong>Handle:</strong> G10 handle provides a durable, non-slip grip for professional use.</li><li><strong>Size:</strong> 180 mm blade length ideal for all-purpose kitchen tasks.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Santoku 180 mm</h2><p>This Damascus clad Santoku knife features a 10Cr15CoMoV steel core, renowned for its exceptional sharpness and edge stability, with a striking Damascus pattern. The 180 mm blade is perfect for precise slicing, dicing, and chopping in commercial kitchens. The G10 handle offers a secure, non-slip grip even in wet conditions, ensuring safety and control. This knife is an excellent choice for wholesale buyers seeking high-quality Japanese kitchen knives. The combination of Damascus aesthetics and G10 durability makes it a standout product for retailers and distributors. Ideal for bulk orders of premium kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for sharpness and pattern.</li><li><strong>Handle:</strong> G10 handle for durability and slip resistance.</li><li><strong>Blade Length:</strong> 180 mm for versatile cutting.</li><li><strong>Design:</strong> Damascus pattern with high-performance steel.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0052-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,santoku knife,65,1598,no,,Damascus Clad 10Cr15CoMoV G10 Santoku 180 mm,"Premium Damascus clad Santoku knife with 10Cr15CoMoV steel and G10 handle, 180 mm. Ideal for wholesale bulk orders. Order wholesale today."
12347,simple,,,San Mai Octagonal Rosewood Wa Handle Santoku 180 mm Hammered Finish KKDA0467,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Construction:</strong> San Mai layered steel with a hammered finish for enhanced aesthetics and performance.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle provides a traditional, comfortable grip.</li><li><strong>Size:</strong> 180 mm blade length for all-purpose cutting precision.</li></ul>","<h2>San Mai Octagonal Rosewood Wa Handle Santoku 180 mm Hammered Finish</h2><p>This San Mai Santoku knife features a hammered finish on the blade, reducing sticking and adding visual appeal. The 180 mm blade is crafted from layered San Mai steel, offering a balance of hardness and flexibility for precise cutting. The octagonal rosewood wa handle provides a traditional Japanese grip that is comfortable and secure. This knife is perfect for wholesale buyers looking to offer unique, high-quality Japanese kitchen knives. The hammered finish not only enhances performance but also makes it a standout kitchen accessory. Ideal for retailers and distributors focusing on premium cutlery.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> San Mai layered steel for durability and sharpness.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle for comfort.</li><li><strong>Blade Length:</strong> 180 mm for versatile use.</li><li><strong>Finish:</strong> Hammered finish for reduced sticking and aesthetic appeal.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr><tr><td>Handle Shape</td><td>Octagonal Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0467-custom.jpg,,,,,,,,,0,,,,,,,10,santoku knife,65,1598,no,,San Mai Hammered Santoku 180 mm Rosewood Wa – Wholesale,"San Mai Santoku knife with hammered finish, octagonal rosewood wa handle, 180 mm blade. Perfect for bulk orders. Order wholesale today."
12349,simple,,,Damascus Clad 10Cr15CoMoV Ebony Octagonal Wa Handle Santoku 201 mm Hammered Finish KKDA0229,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel with a hammered finish for performance and style.</li><li><strong>Handle:</strong> Ebony octagonal wa handle offers a premium, durable grip.</li><li><strong>Size:</strong> 201 mm blade length for extended cutting reach.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Ebony Octagonal Wa Handle Santoku 201 mm Hammered Finish</h2><p>This Damascus clad Santoku knife features a 10Cr15CoMoV steel core with a hammered finish, providing both aesthetic appeal and functional benefits like reduced food sticking. The 201 mm blade offers a longer cutting edge for larger tasks, making it ideal for professional kitchens. The ebony octagonal wa handle adds a touch of luxury while ensuring a secure, comfortable grip. This knife is an excellent choice for wholesale buyers seeking premium Japanese kitchen knives. The combination of Damascus pattern, hammered finish, and ebony handle makes it a standout product for retailers and distributors. Perfect for bulk orders of high-end kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for sharpness and pattern.</li><li><strong>Handle:</strong> Ebony octagonal wa handle for durability and elegance.</li><li><strong>Blade Length:</strong> 201 mm for extended cutting versatility.</li><li><strong>Finish:</strong> Hammered finish for reduced sticking and visual appeal.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Blade Length</td><td>201 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr><tr><td>Handle Shape</td><td>Octagonal Wa</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0229-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,santoku knife,65,1598,no,,Damascus Clad 10Cr15CoMoV Ebony Santoku 201 mm,"Premium Damascus clad Santoku knife with 10Cr15CoMoV steel, ebony handle, hammered finish, 201 mm. Order wholesale today."
12476,simple,,,Damascus Pakkawood Santoku 179 mm Hammered Finish KKDA0179,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus steel with a hammered finish for a unique look and performance.</li><li><strong>Handle:</strong> Pakkawood handle offers durability and a comfortable grip.</li><li><strong>Size:</strong> 179 mm blade length for all-purpose cutting tasks.</li></ul>,"<h2>Damascus Pakkawood Santoku 179 mm Hammered Finish</h2><p>This Damascus Pakkawood Santoku knife features a hammered finish that reduces food sticking and adds a distinctive aesthetic. The 179 mm blade is crafted from Damascus steel, known for its sharpness and durability. The Pakkawood handle provides a robust, comfortable grip that withstands heavy use in commercial kitchens. This knife is ideal for wholesale buyers seeking quality Japanese kitchen knives at a competitive price. The combination of Damascus pattern and hammered finish makes it a popular choice for retailers and distributors. Perfect for bulk orders of versatile kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus steel for sharpness and pattern.</li><li><strong>Handle:</strong> Pakkawood handle for durability and comfort.</li><li><strong>Blade Length:</strong> 179 mm for versatile cutting.</li><li><strong>Finish:</strong> Hammered finish for reduced sticking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Blade Length</td><td>179 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0179-custom.jpg,,,,,,,,,0,,Blade Material,Damascus Steel,0,1,,10,santoku knife,65,,no,0,Damascus Pakkawood Santoku 179 mm Hammered – Wholesale,"Damascus steel Santoku knife with Pakkawood handle and hammered finish, 179 mm. Ideal for wholesale bulk orders. Order wholesale today."
12482,simple,,,San Mai G10 Santoku 180 mm KKDA0183,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Construction:</strong> San Mai layered steel for a balance of hardness and flexibility.</li><li><strong>Handle:</strong> G10 handle provides a durable, non-slip grip for professional use.</li><li><strong>Size:</strong> 180 mm blade length for all-purpose cutting precision.</li></ul>","<h2>San Mai G10 Santoku 180 mm</h2><p>This San Mai G10 Santoku knife features a layered steel construction that combines a hard core with softer outer layers for enhanced durability and sharpness. The 180 mm blade is versatile for slicing, dicing, and chopping in commercial kitchens. The G10 handle offers a secure, non-slip grip, even in wet conditions, ensuring safety and control. This knife is an excellent choice for wholesale buyers seeking high-performance Japanese kitchen knives. The San Mai construction ensures long-lasting edge retention, making it a reliable tool for busy chefs. Ideal for retailers and distributors specializing in professional kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> San Mai layered steel for durability and sharpness.</li><li><strong>Handle:</strong> G10 handle for slip resistance and durability.</li><li><strong>Blade Length:</strong> 180 mm for versatile cutting.</li><li><strong>Design:</strong> Traditional Santoku profile with modern materials.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0183-custom.jpg,,,,,,,,,0,,,,,,,10,santoku knife,65,1598,no,,San Mai G10 Santoku 180 mm – Wholesale,"San Mai layered steel Santoku knife with G10 handle, 180 mm blade. Perfect for wholesale bulk orders. Order wholesale today."
12486,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Santoku 201 mm Hammered Finish KKDA0126,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel with a hammered finish for performance and style.</li><li><strong>Handle:</strong> Ebony handle offers a premium, durable grip.</li><li><strong>Size:</strong> 201 mm blade length for extended cutting reach.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Ebony Handle Santoku 201 mm Hammered Finish</h2><p>This Damascus clad Santoku knife features a 10Cr15CoMoV steel core with a hammered finish, providing both aesthetic appeal and functional benefits like reduced food sticking. The 201 mm blade offers a longer cutting edge for larger tasks, making it ideal for professional kitchens. The ebony handle adds a touch of luxury while ensuring a secure, comfortable grip. This knife is an excellent choice for wholesale buyers seeking premium Japanese kitchen knives. The combination of Damascus pattern, hammered finish, and ebony handle makes it a standout product for retailers and distributors. Perfect for bulk orders of high-end kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for sharpness and pattern.</li><li><strong>Handle:</strong> Ebony handle for durability and elegance.</li><li><strong>Blade Length:</strong> 201 mm for extended cutting versatility.</li><li><strong>Finish:</strong> Hammered finish for reduced sticking and visual appeal.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Blade Length</td><td>201 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Santoku / All-Purpose,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0126-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,santoku knife,65,1598,no,,Damascus Clad 10Cr15CoMoV Ebony Santoku 201 mm,"Premium Damascus clad Santoku knife with 10Cr15CoMoV steel, ebony handle, hammered finish, 201 mm. Order wholesale today."
