ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
10614,simple,,,Cast Iron Wok LKWOS60001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for superior heat retention and even distribution.</li><li><strong>Design:</strong> Classic round-bottom wok ideal for authentic stir-fry cooking.</li><li><strong>Versatility:</strong> Suitable for all cooktops including induction, oven-safe for extended use.</li></ul>","<h2>Cast Iron Wok LKWOS60001 – Wholesale Bulk Order</h2><p>This Cast Iron Wok LKWOS60001 is designed for professional kitchens and retailers seeking durable, high-performance cookware. Crafted from premium cast iron, it excels in heat retention and distribution, ensuring consistent cooking results for stir-fries, steaming, and deep-frying. The round-bottom shape facilitates traditional wok cooking techniques, making it a favorite among chefs. Ideal for wholesale buyers, this wok is compatible with all cooktops including induction and is oven-safe, offering flexibility in commercial settings. Its robust construction withstands high temperatures and frequent use, reducing replacement costs. Stock this essential kitchen accessory for your customers who demand quality and performance. Order wholesale today to meet the demand for authentic cookware.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for superior heat retention and even distribution.</li><li><strong>Design:</strong> Classic round-bottom wok ideal for authentic stir-fry cooking.</li><li><strong>Versatility:</strong> Suitable for all cooktops including induction, oven-safe for extended use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Wok-LKWOS60001.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60001-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60001-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60001-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60001-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok LKWOS60001 – Wholesale Bulk Order,"Premium cast iron wok LKWOS60001 for authentic stir-fry. Durable, induction-safe, oven-safe. Perfect for wholesale bulk orders. Order wholesale today."
10621,simple,,,Wood Handle Cast Iron Wok LKWOS60002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Robust cast iron body ensures excellent heat retention and durability.</li><li><strong>Handle:</strong> Wood handle provides a comfortable, stay-cool grip for safe handling.</li><li><strong>Performance:</strong> Ideal for stir-frying, searing, and deep-frying with even heat distribution.</li></ul>","<h2>Wood Handle Cast Iron Wok LKWOS60002 – Wholesale Bulk Order</h2><p>The Wood Handle Cast Iron Wok LKWOS60002 combines traditional cast iron construction with a practical wood handle for enhanced comfort and safety. This wok is perfect for wholesale buyers targeting retailers and distributors who cater to professional kitchens and home cooks alike. The cast iron body delivers superior heat retention and even distribution, essential for high-heat stir-frying and searing. The wood handle stays cool during cooking, reducing the risk of burns and improving maneuverability. Compatible with all cooktops including induction and oven-safe (excluding handle), this wok offers versatility in commercial settings. Its durable build withstands heavy use, making it a cost-effective addition to your inventory. Stock this kitchen accessory for customers seeking reliable, authentic cookware. Order wholesale today.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Robust cast iron body ensures excellent heat retention and durability.</li><li><strong>Handle:</strong> Wood handle provides a comfortable, stay-cool grip for safe handling.</li><li><strong>Performance:</strong> Ideal for stir-frying, searing, and deep-frying with even heat distribution.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handle Material</td><td>Wood</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,https://img.leeknives.com/wp-content/uploads/2023/06/Wood-Handle-Cast-Iron-Wok-LKWOS60002.jpg,,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Wood Handle Cast Iron Wok LKWOS60002 – Wholesale,"Durable cast iron wok with wood handle LKWOS60002. Even heat, stay-cool grip. Perfect for wholesale bulk orders. Order wholesale today."
10624,simple,,,Cast Iron Wok LKWOS60003,1,0,visible,<h3>Key Features</h3><ul><li><strong>Material:</strong> High-quality cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul>,"<h2>Cast Iron Wok LKWOS60003 – Wholesale Bulk Order</h2><p>The Cast Iron Wok LKWOS60003 is a robust kitchen essential designed for wholesale buyers seeking high-performance cookware. Made from premium cast iron, this wok offers superior heat retention and distribution, ensuring consistent results for stir-frying, steaming, and deep-frying. Its round-bottom shape enables authentic wok cooking, making it a staple for professional chefs and cooking enthusiasts. Compatible with all cooktops including induction and oven-safe, it provides flexibility in commercial kitchens. The durable construction withstands heavy daily use, minimizing replacement costs and maximizing value for retailers. This wok is an excellent addition to your inventory, meeting the demand for reliable, traditional cookware. Stock it for customers who prioritize quality and performance. Order wholesale today to enhance your product lineup.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> High-quality cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Wok-LKWOS60003.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60003.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok LKWOS60003 – Wholesale Bulk Order,"Premium cast iron wok LKWOS60003 for authentic stir-fry. Induction-safe, oven-safe, durable. Perfect for wholesale bulk orders. Order wholesale today."
10628,simple,,,Cast Iron Wok LKWOS60004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li><li><strong>Versatility:</strong> Compatible with all cooktops including induction, oven-safe.</li></ul>","<h2>Cast Iron Wok LKWOS60004 – Wholesale Bulk Order</h2><p>The Cast Iron Wok LKWOS60004 is a durable and versatile cookware option for wholesale buyers. Constructed from high-quality cast iron, this wok provides excellent heat retention and distribution, perfect for high-heat stir-frying, searing, and deep-frying. Its round-bottom design allows for authentic wok cooking techniques, appealing to professional chefs and home cooks. Compatible with all cooktops including induction and oven-safe, it offers flexibility in various kitchen settings. The robust build ensures longevity, making it a cost-effective choice for retailers and distributors. Add this essential kitchen accessory to your inventory to meet customer demand for reliable cookware. Order wholesale today to stock a product that combines traditional craftsmanship with modern performance.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li><li><strong>Versatility:</strong> Compatible with all cooktops including induction, oven-safe.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Wok-LKWOS60004.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60004.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok LKWOS60004 – Wholesale Bulk Order,"Durable cast iron wok LKWOS60004 for authentic stir-fry. Induction-safe, oven-safe, long-lasting. Perfect for wholesale bulk orders. Order wholesale today."
10635,simple,,,Cast Iron Wok with Wood Dual Handles LKWOS60005,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Heavy-duty cast iron for superior heat retention and even cooking.</li><li><strong>Handles:</strong> Dual wood handles provide a secure, stay-cool grip for easy maneuvering.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li></ul>","<h2>Cast Iron Wok with Wood Dual Handles LKWOS60005 – Wholesale Bulk Order</h2><p>The Cast Iron Wok with Wood Dual Handles LKWOS60005 is designed for wholesale buyers seeking a balance of traditional craftsmanship and practical features. Made from heavy-duty cast iron, this wok ensures excellent heat retention and distribution for consistent cooking results. The dual wood handles offer a comfortable, stay-cool grip, making it easier to lift and maneuver, especially when cooking large quantities. Its round-bottom shape is perfect for authentic stir-fry techniques, appealing to professional chefs and cooking enthusiasts. Compatible with all cooktops including induction and oven-safe (excluding handles), it provides versatility in commercial kitchens. This durable wok withstands frequent use, reducing replacement costs. Stock this kitchen accessory for customers who value quality and functionality. Order wholesale today.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Heavy-duty cast iron for superior heat retention and even cooking.</li><li><strong>Handles:</strong> Dual wood handles provide a secure, stay-cool grip for easy maneuvering.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handle Material</td><td>Wood (Dual)</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Wood-Dual-HandledCast-Iron-Wok-LKWOS60005-e1688107763601.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60005-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60005-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60005-2.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok with Wood Dual Handles LKWOS60005 – Wholesale,"Heavy-duty cast iron wok with dual wood handles LKWOS60005. Stay-cool grip, authentic stir-fry. Perfect for wholesale bulk orders. Order wholesale today."
10641,simple,,,Cast Iron Wok with Wood Handle LKWOS60006,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and durability.</li><li><strong>Handle:</strong> Wood handle offers a comfortable, stay-cool grip for safe handling.</li><li><strong>Performance:</strong> Ideal for stir-frying, searing, and deep-frying with even heat.</li></ul>","<h2>Cast Iron Wok with Wood Handle LKWOS60006 – Wholesale Bulk Order</h2><p>The Cast Iron Wok with Wood Handle LKWOS60006 combines traditional cast iron durability with a wood handle for enhanced comfort and safety. This wok is ideal for wholesale buyers catering to retailers and distributors who serve professional kitchens and home cooks. The cast iron body delivers superior heat retention and even distribution, essential for high-heat stir-frying and searing. The wood handle stays cool during cooking, improving maneuverability and reducing burn risk. Compatible with all cooktops including induction and oven-safe (excluding handle), it offers flexibility in commercial settings. Its robust construction withstands heavy use, making it a cost-effective addition to your inventory. Stock this kitchen accessory for customers seeking authentic, reliable cookware. Order wholesale today to meet demand.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and durability.</li><li><strong>Handle:</strong> Wood handle offers a comfortable, stay-cool grip for safe handling.</li><li><strong>Performance:</strong> Ideal for stir-frying, searing, and deep-frying with even heat.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handle Material</td><td>Wood</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Wood-Handle-Cast-Iron-Wok-LKWOS60006.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60006-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60006-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKWOS60006-2.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok with Wood Handle LKWOS60006 – Wholesale,"Durable cast iron wok with wood handle LKWOS60006. Even heat, stay-cool grip. Perfect for wholesale bulk orders. Order wholesale today."
13146,simple,,,Cast Iron Wok LKWOS60007,1,0,visible,<h3>Key Features</h3><ul><li><strong>Material:</strong> High-quality cast iron for superior heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul>,"<h2>Cast Iron Wok LKWOS60007 – Wholesale Bulk Order</h2><p>The Cast Iron Wok LKWOS60007 is a robust kitchen essential designed for wholesale buyers seeking high-performance cookware. Made from premium cast iron, this wok offers superior heat retention and distribution, ensuring consistent results for stir-frying, steaming, and deep-frying. Its round-bottom shape enables authentic wok cooking, making it a staple for professional chefs and cooking enthusiasts. Compatible with all cooktops including induction and oven-safe, it provides flexibility in commercial kitchens. The durable construction withstands heavy daily use, minimizing replacement costs and maximizing value for retailers. This wok is an excellent addition to your inventory, meeting the demand for reliable, traditional cookware. Stock it for customers who prioritize quality and performance. Order wholesale today to enhance your product lineup.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> High-quality cast iron for superior heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2024/01/Cast-Iron-Wok-LKWOS60007.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60007-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok LKWOS60007 – Wholesale Bulk Order,"Premium cast iron wok LKWOS60007 for authentic stir-fry. Induction-safe, oven-safe, durable. Perfect for wholesale bulk orders. Order wholesale today."
13157,simple,,,Enameled Cast Iron Wok LKWOS60008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Enameled cast iron for easy cleaning and rust resistance.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li><li><strong>Versatility:</strong> Compatible with all cooktops including induction, oven-safe.</li></ul>","<h2>Enameled Cast Iron Wok LKWOS60008 – Wholesale Bulk Order</h2><p>The Enameled Cast Iron Wok LKWOS60008 offers the benefits of cast iron with a smooth enamel coating that prevents rust and simplifies cleaning. This wok is perfect for wholesale buyers targeting retailers and distributors who cater to customers seeking low-maintenance, high-performance cookware. The cast iron core provides excellent heat retention and even distribution, ideal for stir-frying, searing, and deep-frying. The enameled finish eliminates the need for seasoning and resists staining, making it user-friendly. Compatible with all cooktops including induction and oven-safe, it offers flexibility in commercial kitchens. Its durable construction ensures longevity, reducing replacement costs. Add this kitchen accessory to your inventory to meet demand for versatile, easy-care cookware. Order wholesale today.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Enameled cast iron for easy cleaning and rust resistance.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li><li><strong>Versatility:</strong> Compatible with all cooktops including induction, oven-safe.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Enameled Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60008-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60008-b.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60008-3.jpg",,,,,,,,,0,,Cookware Material,Enameled Cast Iron Cookware,0,1,,6,enameled cast iron wok,161,10414,no,,Enameled Cast Iron Wok LKWOS60008 – Wholesale Bulk Order,"Easy-clean enameled cast iron wok LKWOS60008. Rust-resistant, induction-safe, oven-safe. Perfect for wholesale bulk orders. Order wholesale today."
13168,simple,,,Cast Iron Wok LKWOS60009,1,0,visible,<h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul>,"<h2>Cast Iron Wok LKWOS60009 – Wholesale Bulk Order</h2><p>The Cast Iron Wok LKWOS60009 is a robust kitchen essential designed for wholesale buyers seeking high-performance cookware. Made from premium cast iron, this wok offers superior heat retention and distribution, ensuring consistent results for stir-frying, steaming, and deep-frying. Its round-bottom shape enables authentic wok cooking, making it a staple for professional chefs and cooking enthusiasts. Compatible with all cooktops including induction and oven-safe, it provides flexibility in commercial kitchens. The durable construction withstands heavy daily use, minimizing replacement costs and maximizing value for retailers. This wok is an excellent addition to your inventory, meeting the demand for reliable, traditional cookware. Stock it for customers who prioritize quality and performance. Order wholesale today to enhance your product lineup.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Premium cast iron for exceptional heat retention and even cooking.</li><li><strong>Design:</strong> Round-bottom wok suitable for traditional stir-fry techniques.</li><li><strong>Durability:</strong> Built to withstand high temperatures and frequent commercial use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr><tr><td>Oven Safe</td><td>Yes</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2024/01/Cast-Iron-Wok-LKWOS60009.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60009-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60009-2.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok LKWOS60009 – Wholesale Bulk Order,"Premium cast iron wok LKWOS60009 for authentic stir-fry. Induction-safe, oven-safe, durable. Perfect for wholesale bulk orders. Order wholesale today."
13178,simple,,,Cast Iron Wok with Wood Dual Handles LKWOS60010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Material:</strong> Heavy-duty cast iron for superior heat retention and even cooking.</li><li><strong>Handles:</strong> Dual wood handles provide a secure, stay-cool grip for easy maneuvering.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li></ul>","<h2>Cast Iron Wok with Wood Dual Handles LKWOS60010 – Wholesale Bulk Order</h2><p>The Cast Iron Wok with Wood Dual Handles LKWOS60010 is designed for wholesale buyers seeking a balance of traditional craftsmanship and practical features. Made from heavy-duty cast iron, this wok ensures excellent heat retention and distribution for consistent cooking results. The dual wood handles offer a comfortable, stay-cool grip, making it easier to lift and maneuver, especially when cooking large quantities. Its round-bottom shape is perfect for authentic stir-fry techniques, appealing to professional chefs and cooking enthusiasts. Compatible with all cooktops including induction and oven-safe (excluding handles), it provides versatility in commercial kitchens. This durable wok withstands frequent use, reducing replacement costs. Stock this kitchen accessory for customers who value quality and functionality. Order wholesale today.</p><h3>Key Features</h3><ul><li><strong>Material:</strong> Heavy-duty cast iron for superior heat retention and even cooking.</li><li><strong>Handles:</strong> Dual wood handles provide a secure, stay-cool grip for easy maneuvering.</li><li><strong>Design:</strong> Round-bottom wok ideal for traditional stir-fry techniques.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handle Material</td><td>Wood (Dual)</td></tr><tr><td>Shape</td><td>Round Bottom</td></tr><tr><td>Cooktop Compatibility</td><td>All including Induction</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Woks,,,"https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60010.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60010-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/01/LKWOS60010-2.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron wok,161,10414,no,,Cast Iron Wok with Wood Dual Handles LKWOS60010 – Wholesale,"Heavy-duty cast iron wok with dual wood handles LKWOS60010. Stay-cool grip, authentic stir-fry. Perfect for wholesale bulk orders. Order wholesale today."
