ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
1874,simple,,,8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Nakiri 165 mm LKJNK10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV clad steel offers excellent edge retention and corrosion resistance for professional vegetable prep.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle provides a comfortable, secure grip and traditional Japanese aesthetic.</li><li><strong>Blade Length:</strong> 165 mm nakiri blade delivers precise, clean cuts on vegetables, ideal for bulk kitchen use.</li></ul>","<h2>8Cr13MoV Clad Steel Octagonal Rosewood Wa Handle Nakiri 165 mm LKJNK10001</h2><p>This nakiri knife is crafted for wholesale buyers seeking a reliable, high-performance vegetable knife. The 8Cr13MoV clad steel blade ensures sharpness and durability, making it suitable for high-volume kitchens. The octagonal rosewood wa handle offers a balanced, comfortable grip that reduces fatigue during extended use. Designed for precise vegetable cutting, this knife enhances efficiency in professional settings. As a versatile kitchen accessory, it meets the demands of retailers and distributors who prioritize quality and value. Order this nakiri in bulk to offer your customers a dependable Japanese-style knife that excels in everyday prep tasks. The traditional design and modern steel composition make it a standout choice for any kitchen tool lineup.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV clad for excellent edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Octagonal rosewood wa handle for comfort and control.</li><li><strong>Blade Length:</strong> 165 mm for precise vegetable cutting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV Clad</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>165 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10001-nakiri.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,0,1,,65,nakiri knife,68,1598,no,,8Cr13MoV Clad Nakiri 165 mm Rosewood Handle Wholesale,"Wholesale 8Cr13MoV clad nakiri knife with rosewood handle, 165 mm blade. Durable and precise for vegetable prep. Order wholesale today."
1882,simple,,,8Cr13MoV Rosewood Nakiri 170 mm LKJNK10002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV steel provides reliable sharpness and edge retention for daily kitchen tasks.</li><li><strong>Handle:</strong> Rosewood handle offers a comfortable, classic grip suitable for professional use.</li><li><strong>Blade Length:</strong> 170 mm nakiri blade ideal for efficient vegetable chopping and slicing in bulk quantities.</li></ul>","<h2>8Cr13MoV Rosewood Nakiri 170 mm LKJNK10002</h2><p>This 8Cr13MoV rosewood nakiri is designed for wholesale buyers who need a consistent, high-quality vegetable knife. The 8Cr13MoV steel blade delivers dependable sharpness and durability, perfect for high-volume prep work. The rosewood handle provides a secure, comfortable grip, enhancing control during repetitive cutting tasks. At 170 mm, the blade length is optimized for efficient vegetable chopping and slicing, making it a versatile kitchen accessory. Ideal for retailers and distributors, this knife offers excellent value without compromising performance. Its traditional Japanese design appeals to professionals seeking reliable tools. Bulk order this nakiri to stock your inventory with a practical, durable option that meets the needs of commercial kitchens.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV for consistent sharpness and edge retention.</li><li><strong>Handle:</strong> Rosewood handle for comfort and durability.</li><li><strong>Blade Length:</strong> 170 mm for efficient vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>170 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10002-nakiri.jpg,,,,,,,,,0,,Blade Material,8Cr13MoV,1,1,,68,rosewood nakiri,68,1598,no,,8Cr13MoV Rosewood Nakiri 170 mm Wholesale Kitchen Knife,"Wholesale 8Cr13MoV rosewood nakiri knife, 170 mm blade. Durable and sharp for vegetable prep. Order bulk today."
1960,simple,,,Damascus Clad 9Cr18Mov Octagonal Stabilized Wood Wa Handle Nakiri 180 mm LKJNK10003,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel offers superior edge retention and a striking pattern.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle ensures durability and a comfortable grip.</li><li><strong>Blade Length:</strong> 180 mm nakiri blade for precise vegetable cutting in professional kitchens.</li></ul>,"<h2>Damascus Clad 9Cr18Mov Octagonal Stabilized Wood Wa Handle Nakiri 180 mm LKJNK10003</h2><p>This Damascus clad nakiri knife features 9Cr18Mov steel, known for its excellent hardness and corrosion resistance. The octagonal stabilized wood wa handle provides a secure, ergonomic grip that reduces hand fatigue during extended use. With a 180 mm blade, this knife excels at precise vegetable cutting, making it a valuable kitchen accessory for high-volume operations. The Damascus pattern adds aesthetic appeal, distinguishing it in any retail display. Ideal for wholesale buyers targeting professional chefs and serious home cooks, this knife combines traditional craftsmanship with modern materials. Its durability and sharpness ensure long-term performance, enhancing customer satisfaction. Order in bulk to offer a premium Japanese-style vegetable knife that stands out in the market.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov for superior edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Octagonal stabilized wood wa handle for comfort and durability.</li><li><strong>Blade Length:</strong> 180 mm for precise vegetable cutting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 9Cr18Mov</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10003-nakiri.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,damascus nakiri,68,1598,no,,Damascus Clad 9Cr18Mov Nakiri 180 mm Stabilized Wood,"Wholesale Damascus clad 9Cr18Mov nakiri knife, 180 mm, stabilized wood handle. Premium vegetable cutter. Order wholesale today."
1962,simple,,,Damascus Clad 9Cr18Mov Oval Stabilized Wood Nakiri 180 mm LKJNK10004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov steel for exceptional sharpness and durability.</li><li><strong>Handle:</strong> Oval stabilized wood handle offers a comfortable, ergonomic grip.</li><li><strong>Blade Length:</strong> 180 mm nakiri blade designed for efficient vegetable slicing and dicing.</li></ul>","<h2>Damascus Clad 9Cr18Mov Oval Stabilized Wood Nakiri 180 mm LKJNK10004</h2><p>This nakiri knife features Damascus clad 9Cr18Mov steel, providing outstanding edge retention and a beautiful pattern. The oval stabilized wood handle ensures a comfortable, secure grip, ideal for repeated use in busy kitchens. With a 180 mm blade, it delivers precise vegetable cutting, enhancing workflow efficiency. As a kitchen accessory, it combines functionality with aesthetic appeal, making it a popular choice for retail. Wholesale buyers can offer this knife to customers seeking high-performance Japanese tools. The stabilized wood handle resists moisture and wear, ensuring long-lasting durability. This knife is perfect for professional chefs and culinary enthusiasts who demand quality. Order in bulk to stock a versatile, reliable vegetable knife that meets rigorous kitchen standards.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 9Cr18Mov for sharpness and durability.</li><li><strong>Handle:</strong> Oval stabilized wood for comfort and longevity.</li><li><strong>Blade Length:</strong> 180 mm for precise vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 9Cr18Mov</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKJNK10004-nakiri.jpg,,,,,,,,,0,,Blade Material,"9Cr18MoV, Damascus Steel",0,1,,65,stabilized wood nakiri,68,1598,no,,Damascus 9Cr18Mov Nakiri 180 mm Oval Wood Handle Wholesale,"Wholesale Damascus clad 9Cr18Mov nakiri knife, 180 mm, oval stabilized wood handle. Durable and sharp. Order wholesale today."
12323,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 180 mm KKDA0425,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel offers superior hardness and edge retention.</li><li><strong>Handle:</strong> G10 handle provides excellent durability and a secure, non-slip grip.</li><li><strong>Blade Length:</strong> 180 mm nakiri blade ideal for high-volume vegetable cutting.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 180 mm KKDA0425</h2><p>This nakiri knife features Damascus clad 10Cr15CoMoV steel, known for its exceptional hardness and corrosion resistance. The G10 handle offers a robust, non-slip grip, ensuring safety and control during intensive use. With a 180 mm blade, it is optimized for precise vegetable cutting, making it a valuable kitchen accessory for professional kitchens. The Damascus pattern adds visual appeal, enhancing its retail value. Wholesale buyers can offer this knife to customers seeking high-performance Japanese tools with modern handle materials. The G10 handle is resistant to moisture and impact, ensuring long-term durability. This knife combines traditional blade craftsmanship with contemporary handle design, appealing to a broad range of culinary professionals. Order in bulk to meet demand for reliable, attractive vegetable knives.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV for superior hardness.</li><li><strong>Handle:</strong> G10 handle for durability and non-slip grip.</li><li><strong>Blade Length:</strong> 180 mm for efficient vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0425-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,G10 nakiri,68,1598,no,,Damascus 10Cr15CoMoV Nakiri 180 mm G10 Handle Wholesale,"Wholesale Damascus clad 10Cr15CoMoV nakiri knife, 180 mm, G10 handle. Durable and precise. Order wholesale today."
12468,simple,,,San Mai Rosewood Nakiri 178 mm KKDA0070,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Construction:</strong> San Mai layered steel for enhanced strength and edge retention.</li><li><strong>Handle:</strong> Rosewood handle offers a classic, comfortable grip.</li><li><strong>Blade Length:</strong> 178 mm nakiri blade designed for efficient vegetable cutting.</li></ul>","<h2>San Mai Rosewood Nakiri 178 mm KKDA0070</h2><p>This San Mai rosewood nakiri features layered steel construction, providing a durable and sharp blade for professional vegetable prep. The rosewood handle offers a traditional, comfortable grip that reduces hand fatigue. With a 178 mm blade, it is ideal for precise chopping and slicing in high-volume kitchens. As a kitchen accessory, it combines quality materials with practical design, appealing to retailers and distributors. The San Mai construction enhances blade strength and edge retention, ensuring long-lasting performance. This knife is suitable for chefs who demand reliability and efficiency. Wholesale buyers can offer this versatile vegetable knife to customers seeking Japanese craftsmanship at a competitive price. Order in bulk to stock a dependable tool that meets the needs of commercial kitchens.</p><h3>Key Features</h3><ul><li><strong>Blade Construction:</strong> San Mai layered steel for strength and edge retention.</li><li><strong>Handle:</strong> Rosewood handle for comfort and durability.</li><li><strong>Blade Length:</strong> 178 mm for efficient vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>Blade Length</td><td>178 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0070-custom.jpg,,,,,,,,,0,,,,,,,10,san mai nakiri,68,1598,no,,San Mai Rosewood Nakiri 178 mm Wholesale Vegetable Knife,"Wholesale San Mai rosewood nakiri knife, 178 mm. Strong and sharp for vegetable prep. Order wholesale today."
12481,simple,,,San Mai G10 Nakiri 180 mm KKDA0184,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Construction:</strong> San Mai layered steel for superior strength and sharpness.</li><li><strong>Handle:</strong> G10 handle provides excellent durability and a secure grip.</li><li><strong>Blade Length:</strong> 180 mm nakiri blade ideal for precise vegetable cutting.</li></ul>,"<h2>San Mai G10 Nakiri 180 mm KKDA0184</h2><p>This San Mai G10 nakiri combines layered steel construction with a modern G10 handle for exceptional performance. The San Mai blade offers enhanced strength and edge retention, making it suitable for demanding kitchen tasks. The G10 handle provides a durable, non-slip grip that ensures control and comfort during extended use. With a 180 mm blade, it is optimized for efficient vegetable slicing and dicing. As a kitchen accessory, it appeals to professionals seeking reliable tools. Wholesale buyers can offer this knife to customers who value both traditional craftsmanship and modern materials. The G10 handle resists moisture and impact, ensuring longevity. This knife is perfect for high-volume kitchens where precision and durability are paramount. Order in bulk to meet the needs of discerning chefs.</p><h3>Key Features</h3><ul><li><strong>Blade Construction:</strong> San Mai layered steel for strength and sharpness.</li><li><strong>Handle:</strong> G10 handle for durability and non-slip grip.</li><li><strong>Blade Length:</strong> 180 mm for precise vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Construction</td><td>San Mai</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Blade Length</td><td>180 mm</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/San-Mai-G10-Nakiri-180-mm-KKDA0184.webp,,,,,,,,,0,,,,,,,10,san mai g10 nakiri,68,1598,no,0,San Mai G10 Nakiri 180 mm Wholesale Vegetable Knife,"Wholesale San Mai G10 nakiri knife, 180 mm. Strong and durable for vegetable prep. Order wholesale today."
12485,simple,,,Damascus Clad 10Cr15CoMoV Ebony Handle Nakiri 178 mm Hammered Finish KKDA0124,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel with hammered finish for reduced sticking.</li><li><strong>Handle:</strong> Ebony handle offers a luxurious feel and secure grip.</li><li><strong>Blade Length:</strong> 178 mm nakiri blade for precise vegetable cutting.</li></ul>,"<h2>Damascus Clad 10Cr15CoMoV Ebony Handle Nakiri 178 mm Hammered Finish KKDA0124</h2><p>This nakiri knife features Damascus clad 10Cr15CoMoV steel with a hammered finish that reduces food sticking and adds visual appeal. The ebony handle provides a comfortable, secure grip with a premium aesthetic. With a 178 mm blade, it delivers precise vegetable cutting, making it a valuable kitchen accessory for professional use. The hammered finish also enhances durability and reduces drag during slicing. Wholesale buyers can offer this knife to customers seeking high-performance Japanese tools with distinctive design. The ebony handle is dense and resistant to moisture, ensuring long-term reliability. This knife combines traditional craftsmanship with advanced materials, appealing to chefs who demand both function and style. Order in bulk to stock a standout vegetable knife for discerning retailers.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV with hammered finish.</li><li><strong>Handle:</strong> Ebony handle for comfort and elegance.</li><li><strong>Blade Length:</strong> 178 mm for precise vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Blade Length</td><td>178 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2024/03/KKDA0124-custom.jpg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,hammered nakiri,68,1598,no,,Damascus 10Cr15CoMoV Nakiri 178 mm Ebony Hammered Wholesale,"Wholesale Damascus clad 10Cr15CoMoV nakiri knife, 178 mm, ebony handle, hammered finish. Premium vegetable cutter. Order wholesale today."
12511,simple,,,5Cr15MoV Pakkawood Nakiri 167 mm Hammered Finish KKDA0326,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 5Cr15MoV steel offers good edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Pakkawood handle provides a durable, comfortable grip with a classic look.</li><li><strong>Blade Length:</strong> 167 mm nakiri blade with hammered finish for reduced sticking.</li></ul>","<h2>5Cr15MoV Pakkawood Nakiri 167 mm Hammered Finish KKDA0326</h2><p>This nakiri knife features 5Cr15MoV steel with a hammered finish that minimizes food sticking and adds texture. The Pakkawood handle offers a durable, comfortable grip suitable for extended use. With a 167 mm blade, it is designed for efficient vegetable cutting in professional kitchens. As a kitchen accessory, it provides a balance of performance and value, making it an attractive option for retailers and distributors. The hammered finish also enhances the knife's durability and aesthetic appeal. This knife is ideal for chefs seeking a reliable, affordable vegetable knife with traditional Japanese styling. Wholesale buyers can offer this tool to customers who need consistent performance without high cost. Order in bulk to stock a practical, versatile knife for daily prep tasks.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 5Cr15MoV for good edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Pakkawood handle for durability and comfort.</li><li><strong>Blade Length:</strong> 167 mm with hammered finish for reduced sticking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>5Cr15MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Blade Length</td><td>167 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0326.jpeg,,,,,,,,,0,,Blade Material,5Cr15MoV,0,1,,10,pakkawood nakiri,68,1598,no,,5Cr15MoV Pakkawood Nakiri 167 mm Hammered Wholesale,"Wholesale 5Cr15MoV Pakkawood nakiri knife, 167 mm, hammered finish. Durable and affordable. Order wholesale today."
12521,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 172 mm Hammered Finish KKDA0316,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV steel with hammered finish for superior performance.</li><li><strong>Handle:</strong> G10 handle offers durability and a secure, non-slip grip.</li><li><strong>Blade Length:</strong> 172 mm nakiri blade for precise vegetable cutting in professional kitchens.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Nakiri 172 mm Hammered Finish KKDA0316</h2><p>This nakiri knife features Damascus clad 10Cr15CoMoV steel with a hammered finish that reduces food sticking and enhances blade durability. The G10 handle provides a robust, non-slip grip, ensuring control during intensive use. With a 172 mm blade, it is optimized for efficient vegetable slicing and dicing. As a kitchen accessory, it combines high-performance materials with practical design, appealing to professional chefs. The hammered finish also adds a distinctive texture that prevents drag. Wholesale buyers can offer this knife to customers seeking reliable, visually appealing Japanese tools. The G10 handle resists moisture and impact, ensuring long-term performance. This knife is ideal for high-volume kitchens where precision and durability are essential. Order in bulk to meet demand for premium vegetable knives.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> Damascus clad 10Cr15CoMoV with hammered finish.</li><li><strong>Handle:</strong> G10 handle for durability and non-slip grip.</li><li><strong>Blade Length:</strong> 172 mm for precise vegetable prep.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Steel</td><td>Damascus Clad 10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Blade Length</td><td>172 mm</td></tr><tr><td>Finish</td><td>Hammered</td></tr><tr><td>Knife Type</td><td>Nakiri</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Japanese Kitchen Knives > Nakiri / Vegetable,Store,,https://img.leeknives.com/wp-content/uploads/2023/12/KKDA0316.jpeg,,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,10,damascus g10 nakiri,68,1598,no,,Damascus 10Cr15CoMoV Nakiri 172 mm G10 Hammered Wholesale,"Wholesale Damascus clad 10Cr15CoMoV nakiri knife, 172 mm, G10 handle, hammered finish. Premium vegetable cutter. Order wholesale today."
