ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
5129,simple,,,Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20001-2,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Durable Acacia Construction:</strong> Crafted from premium acacia wood for long-lasting use in commercial kitchens.</li><li><strong>Juice Groove:</strong> Built-in groove captures juices during carving, keeping counters clean.</li><li><strong>Convenient Hanging Hole:</strong> Easy to store on a hook for quick access and space-saving organization.</li></ul>","<h2>Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20001-2</h2><p>This acacia cutting board is designed for heavy-duty use in professional kitchens and retail settings. The dense acacia wood provides a durable surface that resists knife marks and absorbs less moisture, making it ideal for daily chopping and slicing. The integrated juice groove effectively collects liquids from meats and fruits, preventing messes and cross-contamination. A convenient hanging hole allows for easy storage on hooks, maximizing counter space and keeping the board accessible. Perfect for wholesale buyers looking to offer high-quality, functional kitchen accessories to their customers.</p><h3>Key Features</h3><ul><li><strong>Durable Acacia Construction:</strong> Premium acacia wood offers excellent hardness and longevity.</li><li><strong>Juice Groove:</strong> Captures juices to keep work surfaces clean.</li><li><strong>Hanging Hole:</strong> Simplifies storage and saves space.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Hanging Hole</td></tr><tr><td>Use</td><td>Cutting, Chopping, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20001-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20001-2.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20001.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20002.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,87,5123,no,,Acacia Cutting Board with Juice Groove & Hanging Hole - Wholesale,"Premium acacia cutting board with juice groove and hanging hole. Durable, space-saving design for commercial kitchens. Order wholesale today."
5148,simple,,,Acacia Cutting Board with Juice Groove and Rounded Corners LKCBO20003,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Rounded Corners:</strong> Smooth, rounded edges enhance safety and reduce chipping during use.</li><li><strong>Juice Groove:</strong> Effectively channels juices away from food for a cleaner workspace.</li><li><strong>Acacia Wood:</strong> Hard, dense wood resists warping and knife damage for long-lasting performance.</li></ul>","<h2>Acacia Cutting Board with Juice Groove and Rounded Corners LKCBO20003</h2><p>This acacia cutting board combines practical design with durable materials, making it a top choice for wholesale kitchen accessory buyers. The rounded corners not only provide a sleek appearance but also minimize the risk of accidental cuts and damage during handling. A deep juice groove runs along the perimeter, capturing liquids from carving meats or slicing fruits to maintain a tidy counter. Acacia wood is naturally hard and dense, offering excellent resistance to scratches and moisture absorption. This board is suitable for both cutting and serving, adding versatility to any kitchenware lineup.</p><h3>Key Features</h3><ul><li><strong>Rounded Corners:</strong> Safe and chip-resistant design.</li><li><strong>Juice Groove:</strong> Keeps counters clean during food prep.</li><li><strong>Acacia Wood:</strong> Durable and moisture-resistant material.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Rounded Corners</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20003.jpg,,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,87,5123,no,,Acacia Cutting Board with Juice Groove & Rounded Corners – Wholesale,"Durable acacia cutting board with juice groove and rounded corners. Safe, practical, and ideal for bulk orders. Order wholesale today."
5149,simple,,,Acacia Cutting Board with Juice Groove LKCBO20004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Integrated groove captures liquids for a cleaner prep area.</li><li><strong>Acacia Wood:</strong> Premium hardwood known for its strength and natural beauty.</li><li><strong>Versatile Use:</strong> Ideal for chopping, slicing, and serving in commercial or home kitchens.</li></ul>","<h2>Acacia Cutting Board with Juice Groove LKCBO20004</h2><p>This acacia cutting board is a reliable workhorse for any kitchen, offering a spacious surface for all types of food preparation. The acacia wood is naturally hard and dense, providing excellent durability against knife marks and wear. A well-designed juice groove runs around the board, effectively collecting juices from meats, fruits, and vegetables to prevent messes. This board is perfect for wholesale buyers seeking a classic, functional cutting board that appeals to both professional chefs and home cooks. Its simple yet effective design makes it a staple in kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Keeps counters clean and hygienic.</li><li><strong>Acacia Wood:</strong> Hard, durable, and naturally antimicrobial.</li><li><strong>Versatile Use:</strong> Suitable for cutting and serving.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20004.jpg,,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,87,5123,no,,Acacia Cutting Board with Juice Groove – Wholesale Quality,High-quality acacia cutting board with juice groove. Durable and versatile for commercial kitchens. Order wholesale today.
5150,simple,,,Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20005,1,0,visible,<h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Channels liquids away from food for a cleaner workspace.</li><li><strong>Hanging Hole:</strong> Allows for convenient storage on hooks or racks.</li><li><strong>Acacia Wood:</strong> Premium hardwood that resists warping and moisture.</li></ul>,"<h2>Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20005</h2><p>This acacia cutting board is designed for efficiency and convenience in busy kitchens. The acacia wood construction ensures a hard, durable surface that withstands heavy use while resisting knife scars and moisture. A juice groove captures excess liquids, making it ideal for carving meats or slicing juicy fruits. The hanging hole provides easy storage, helping to keep countertops clutter-free. This board is a practical addition to any kitchenware assortment, appealing to customers who value functionality and quality. Perfect for wholesale orders.</p><h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Reduces mess during food prep.</li><li><strong>Hanging Hole:</strong> Space-saving storage solution.</li><li><strong>Acacia Wood:</strong> Long-lasting and beautiful.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Hanging Hole</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20005-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20005.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,87,5123,no,,Acacia Cutting Board with Juice Groove & Hanging Hole – Bulk,Functional acacia cutting board with juice groove and hanging hole. Durable and space-saving for kitchens. Order wholesale today.
5151,simple,,,Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20006,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Built-in groove for liquid collection during carving.</li><li><strong>Hanging Hole:</strong> Easy to hang for convenient storage.</li><li><strong>Acacia Wood:</strong> Sturdy, dense wood ideal for daily use.</li></ul>","<h2>Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20006</h2><p>This acacia cutting board offers a perfect blend of practicality and durability for professional kitchens. The acacia wood is naturally hard and resistant to moisture, ensuring it stays flat and functional over time. A juice groove surrounds the board, capturing liquids to keep counters dry and clean. The hanging hole allows for quick and easy storage, making it a space-efficient choice for busy cooks. This board is an excellent option for wholesale buyers looking to stock reliable kitchen accessories that meet the demands of daily use.</p><h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Maintains cleanliness during food prep.</li><li><strong>Hanging Hole:</strong> Simplifies storage and organization.</li><li><strong>Acacia Wood:</strong> Durable and long-lasting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Hanging Hole</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20006.jpg,,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,87,5123,no,,Acacia Cutting Board with Juice Groove & Hanging Hole – Wholesale,Reliable acacia cutting board with juice groove and hanging hole. Durable and space-saving. Order wholesale today.
5152,simple,,,UV Printed Acacia Cutting Board with Hanging Hole LKCBO20007,1,0,visible,"<h3>Key Features</h3><ul><li><strong>UV Printed Design:</strong> Vibrant, custom artwork printed directly onto the wood surface.</li><li><strong>Hanging Hole:</strong> Easy to display or store on a hook.</li><li><strong>Acacia Wood:</strong> Premium material with natural durability and beauty.</li></ul>","<h2>UV Printed Acacia Cutting Board with Hanging Hole LKCBO20007</h2><p>This UV printed acacia cutting board combines artistry with functionality, making it a standout product for wholesale buyers. The acacia wood base provides a durable, long-lasting surface that resists knife marks and moisture. A unique UV printed design adds visual appeal, making this board suitable for both food preparation and decorative serving. The hanging hole allows for easy storage or display, perfect for retail environments. This board is ideal for customers seeking a blend of utility and aesthetics in their kitchen accessories.</p><h3>Key Features</h3><ul><li><strong>UV Printed Design:</strong> Customizable and fade-resistant artwork.</li><li><strong>Hanging Hole:</strong> Convenient for storage or display.</li><li><strong>Acacia Wood:</strong> Strong and durable construction.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>UV Printed, Hanging Hole</td></tr><tr><td>Use</td><td>Cutting, Serving, Decorative</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20007-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20007.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20007-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20007-detail.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,UV printed cutting board,0,5123,no,,UV Printed Acacia Cutting Board with Hanging Hole – Wholesale,Custom UV printed acacia cutting board with hanging hole. Durable and decorative for kitchens. Order wholesale today.
5157,simple,,,Acacia Cutting Board with Handle LKCBO20008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Built-in Handle:</strong> Ergonomic handle for easy carrying and handling.</li><li><strong>Acacia Wood:</strong> Hard, dense wood that resists wear and moisture.</li><li><strong>Versatile Use:</strong> Perfect for chopping, slicing, and serving.</li></ul>","<h2>Acacia Cutting Board with Handle LKCBO20008</h2><p>This acacia cutting board features a convenient handle, making it easy to transport from counter to table. The acacia wood is naturally hard and dense, providing a durable cutting surface that withstands heavy use. Its smooth finish is gentle on knives, reducing blade dulling over time. The handle adds flexibility, allowing the board to double as a serving platter for cheeses or appetizers. This board is a practical choice for wholesale buyers looking to offer a versatile kitchen accessory that combines functionality with classic wood aesthetics.</p><h3>Key Features</h3><ul><li><strong>Built-in Handle:</strong> Easy to carry and serve.</li><li><strong>Acacia Wood:</strong> Durable and moisture-resistant.</li><li><strong>Versatile Use:</strong> Suitable for cutting and serving.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Handle</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20008.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20008-scene.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,0,5123,no,,Acacia Cutting Board with Handle – Wholesale Kitchen Accessory,Durable acacia cutting board with ergonomic handle. Perfect for cutting and serving. Order wholesale today.
5160,simple,,,UV Printed Acacia Cutting Board with Handle LKCBO20009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>UV Printed Design:</strong> Eye-catching, custom artwork that resists fading.</li><li><strong>Built-in Handle:</strong> Comfortable grip for easy transport and serving.</li><li><strong>Acacia Wood:</strong> Premium hardwood known for its strength and beauty.</li></ul>","<h2>UV Printed Acacia Cutting Board with Handle LKCBO20009</h2><p>This UV printed acacia cutting board combines artistic design with practical functionality. The acacia wood base offers a durable cutting surface that is gentle on knives and resistant to moisture. A vibrant UV printed pattern adds a decorative touch, making this board ideal for serving charcuterie or displaying in a kitchen. The integrated handle provides a comfortable grip for easy carrying from prep area to table. This board is a versatile addition to any kitchenware line, appealing to customers who value both form and function.</p><h3>Key Features</h3><ul><li><strong>UV Printed Design:</strong> Customizable and durable artwork.</li><li><strong>Built-in Handle:</strong> Easy to carry and serve.</li><li><strong>Acacia Wood:</strong> Strong and long-lasting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>UV Printed, Handle</td></tr><tr><td>Use</td><td>Cutting, Serving, Decorative</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20009.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20009-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20009-detail.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,UV printed cutting board,0,5123,no,,UV Printed Acacia Cutting Board with Handle – Wholesale,Custom UV printed acacia cutting board with handle. Durable and decorative for kitchens. Order wholesale today.
5164,simple,,,Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Captures liquids for a cleaner workspace.</li><li><strong>Hanging Hole:</strong> Convenient storage on hooks or racks.</li><li><strong>Acacia Wood:</strong> Hard, dense wood that resists warping.</li></ul>","<h2>Acacia Cutting Board with Juice Groove and Hanging Hole LKCBO20010</h2><p>This acacia cutting board is a practical and durable choice for any kitchen. The acacia wood is naturally hard and dense, providing a stable surface that resists knife marks and moisture absorption. A juice groove runs around the board, collecting juices from meats and fruits to keep counters clean. The hanging hole allows for easy storage, making it a space-saving solution for busy kitchens. This board is ideal for wholesale buyers looking to offer a reliable, functional cutting board that meets the needs of professional and home cooks alike.</p><h3>Key Features</h3><ul><li><strong>Juice Groove:</strong> Reduces mess during food prep.</li><li><strong>Hanging Hole:</strong> Easy to store and organize.</li><li><strong>Acacia Wood:</strong> Durable and long-lasting.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Hanging Hole</td></tr><tr><td>Use</td><td>Cutting, Serving</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20010-main.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20010-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20010-detail.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board,0,5123,no,,Acacia Cutting Board with Juice Groove & Hanging Hole – Bulk,Functional acacia cutting board with juice groove and hanging hole. Durable and space-saving. Order wholesale today.
5168,simple,,,Acacia 4-Piece Cutting Board Set with Juice Groove and Rounded Corners LKCBO20011,1,0,visible,<h3>Key Features</h3><ul><li><strong>4-Piece Set:</strong> Includes multiple boards for versatile food prep.</li><li><strong>Juice Groove:</strong> Each board features a groove to capture liquids.</li><li><strong>Rounded Corners:</strong> Safe and chip-resistant edges for durability.</li></ul>,"<h2>Acacia 4-Piece Cutting Board Set with Juice Groove and Rounded Corners LKCBO20011</h2><p>This acacia 4-piece cutting board set offers a range of sizes for all your food preparation needs. Each board is crafted from durable acacia wood, known for its hardness and resistance to moisture. Juice grooves on every board help keep counters clean by capturing liquids, while rounded corners enhance safety and prevent chipping. This set is perfect for wholesale buyers looking to provide a comprehensive cutting solution for commercial kitchens or retail customers. The variety of sizes allows for dedicated boards for different food types, reducing cross-contamination.</p><h3>Key Features</h3><ul><li><strong>4-Piece Set:</strong> Multiple sizes for different tasks.</li><li><strong>Juice Groove:</strong> Keeps workspaces clean.</li><li><strong>Rounded Corners:</strong> Safe and durable design.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Acacia Wood</td></tr><tr><td>Features</td><td>Juice Groove, Rounded Corners, Set of 4</td></tr><tr><td>Use</td><td>Cutting, Chopping</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Cutting Boards,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-meat.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-veggies.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-fruit.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-bread.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-detail.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKCBO20011-use.jpg",,,,,,,,,0,,Board Material,Acacia,0,1,,11,acacia cutting board set,0,5123,no,,Acacia 4-Piece Cutting Board Set with Juice Groove – Wholesale,Set of 4 acacia cutting boards with juice grooves and rounded corners. Durable and versatile for kitchens. Order wholesale today.
