ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
9719,simple,,,8Cr13MoV Pakkawood Folding Knife LKFDK10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel offers excellent edge retention and corrosion resistance for everyday cutting tasks.</li><li><strong>Handle Material:</strong> Classic Pakkawood scales provide a warm, natural grip with refined aesthetics.</li><li><strong>Locking Mechanism:</strong> Reliable liner lock ensures safe and secure blade deployment during use.</li></ul>","<h2>8Cr13MoV Pakkawood Folding Knife LKFDK10001</h2><p>This folding knife combines the practicality of 8Cr13MoV stainless steel with the timeless appeal of Pakkawood handle scales. Designed for everyday carry, it offers a balance of sharpness and durability suitable for light to medium cutting tasks. The liner lock mechanism provides secure blade retention, making it a dependable tool for retail customers. Available in wholesale quantities for kitchen accessory suppliers and outdoor gear retailers.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel for reliable edge performance.</li><li><strong>Handle Material:</strong> Pakkawood scales for a comfortable, classic grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for safe operation.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/05/3Cr13-Pakkawood-Folding-Knife-lkfdk10001.jpg, https://img.leeknives.com/wp-content/uploads/2023/05/LKFDK10001-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/05/LKFDK10001-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/05/LKFDK10001-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/05/LKFDK10001-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/05/LKFDK10001-1.jpg",,,,,,,,,0,,,,,,,11,folding knife,144,9705,no,,8Cr13MoV Pakkawood Folding Knife Wholesale,Wholesale 8Cr13MoV Pakkawood folding knife with liner lock and classic handle. Ideal for EDC and kitchen accessory retailers. Order wholesale today.
9995,simple,,,D2 G10 Folding Knife LKFDK10003,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel delivers high wear resistance and long-lasting sharpness for demanding cuts.</li><li><strong>Handle Material:</strong> Textured G10 scales provide a secure, non-slip grip in wet or dry conditions.</li><li><strong>Locking Mechanism:</strong> Robust liner lock ensures blade stability during heavy use.</li></ul>","<h2>D2 G10 Folding Knife LKFDK10003</h2><p>This D2 G10 folding knife is built for performance and durability. The D2 steel blade offers superior edge retention, while the textured G10 handle ensures a confident grip even in challenging environments. Ideal for everyday carry and tactical applications, this knife features a reliable liner lock for safety. Perfect for bulk orders from outdoor gear and EDC retailers seeking high-quality pocket knives.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel for exceptional hardness and edge stability.</li><li><strong>Handle Material:</strong> G10 laminate for durability and grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for secure blade lockup.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/D2-G10-Folding-Knife-lkfdk10003.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10003-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10003-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10003-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10003-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10003-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,D2 folding knife,144,9705,no,,D2 G10 Folding Knife Wholesale LKFDK10003,Wholesale D2 G10 folding knife with high-wear blade and textured handle. Perfect for EDC and tactical retailers. Order wholesale today.
10007,simple,,,8Cr13MoV Aluminum Folding Knife LKFDK10004,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel provides good edge retention and easy resharpening.</li><li><strong>Handle Material:</strong> Lightweight aluminum handle offers strength and a modern look.</li><li><strong>Locking Mechanism:</strong> Liner lock keeps the blade securely open during cutting.</li></ul>,"<h2>8Cr13MoV Aluminum Folding Knife LKFDK10004</h2><p>This folding knife features a lightweight aluminum handle paired with an 8Cr13MoV stainless steel blade. The combination offers a modern aesthetic with practical functionality for everyday carry. The liner lock ensures safe operation, making it suitable for a variety of cutting tasks. Available in wholesale quantities for kitchen accessory and outdoor gear retailers looking to stock reliable pocket knives.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV for reliable cutting performance.</li><li><strong>Handle Material:</strong> Aluminum for lightweight durability.</li><li><strong>Locking Mechanism:</strong> Liner lock for safety.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Aluminum</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-Aluminum-Folding-Knife-LKFDK10004.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10004-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10004-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10004-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10004-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10004-1.jpg",,,,,,,,,0,,,,,,,11,aluminum folding knife,144,9705,no,,8Cr13MoV Aluminum Folding Knife Wholesale,Wholesale 8Cr13MoV aluminum folding knife with lightweight handle and secure liner lock. Ideal for EDC retailers. Order wholesale today.
10015,simple,,,8Cr13MoV Aluminum Folding Knife LKFDK10005,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel blade for consistent sharpness and corrosion resistance.</li><li><strong>Handle Material:</strong> Durable aluminum handle with a sleek profile for comfortable carry.</li><li><strong>Locking Mechanism:</strong> Liner lock provides secure blade deployment and retraction.</li></ul>,"<h2>8Cr13MoV Aluminum Folding Knife LKFDK10005</h2><p>Another versatile addition to your inventory, this 8Cr13MoV aluminum folding knife offers a reliable cutting tool for everyday use. The aluminum handle is both lightweight and strong, while the steel blade maintains a sharp edge for various tasks. The liner lock mechanism enhances user safety. Perfect for wholesale distribution to sporting goods stores and kitchen accessory suppliers.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV for balanced performance.</li><li><strong>Handle Material:</strong> Aluminum for a robust yet light feel.</li><li><strong>Locking Mechanism:</strong> Liner lock for dependable use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Aluminum</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-Aluminum-Folding-Knife-LKFDK10005.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10005-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10005-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10005-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10005-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10005-1.jpg",,,,,,,,,0,,,,,,,11,folding pocket knife,144,9705,no,,8Cr13MoV Aluminum Folding Knife LKFDK10005,Wholesale 8Cr13MoV aluminum folding knife with lightweight construction and liner lock. Great for EDC and outdoor retailers. Order wholesale today.
10023,simple,,,Stonewashed Finish D2 G10 Folding Knife LKFDK10007,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel with a stonewashed finish for reduced glare and enhanced corrosion resistance.</li><li><strong>Handle Material:</strong> Textured G10 scales provide a secure grip in all conditions.</li><li><strong>Locking Mechanism:</strong> Liner lock ensures safe and stable blade use.</li></ul>,"<h2>Stonewashed Finish D2 G10 Folding Knife LKFDK10007</h2><p>This folding knife features a stonewashed D2 steel blade that minimizes reflections and hides scratches, making it ideal for tactical and outdoor use. The G10 handle offers excellent traction, and the liner lock provides secure operation. A practical choice for everyday carry, this knife is available for wholesale orders to EDC and outdoor gear retailers.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 with stonewashed finish for durability and low visibility.</li><li><strong>Handle Material:</strong> G10 for a non-slip grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for safety.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Finish</td><td>Stonewashed</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Stonewashed-Finish-D2-G10-Folding-Knife-lkfdk10007.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10007-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10007-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10007-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10007-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10007-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,stonewashed folding knife,144,9705,no,,Stonewashed D2 G10 Folding Knife Wholesale,Wholesale stonewashed D2 G10 folding knife with tactical finish and secure liner lock. Ideal for EDC retailers. Order wholesale today.
10031,simple,,,D2 G10 Folding Knife LKFDK10008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel for exceptional edge retention and hardness.</li><li><strong>Handle Material:</strong> Durable G10 scales offer a secure, ergonomic grip.</li><li><strong>Locking Mechanism:</strong> Liner lock provides reliable blade retention during use.</li></ul>","<h2>D2 G10 Folding Knife LKFDK10008</h2><p>This D2 G10 folding knife is designed for heavy-duty everyday carry. The D2 steel blade holds an edge longer than many stainless steels, making it suitable for demanding tasks. The G10 handle is built to withstand rough use while maintaining comfort. A durable liner lock ensures safety. Perfect for wholesale supply to outdoor and tactical gear retailers.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 for long-lasting sharpness.</li><li><strong>Handle Material:</strong> G10 for strength and grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for secure operation.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/D2-G10-Folding-Knife-lkfdk10008.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-8.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-9.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-7.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10008-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,D2 pocket knife,144,9705,no,,D2 G10 Folding Knife Wholesale LKFDK10008,Wholesale D2 G10 folding knife with high-hardness blade and textured handle. Perfect for EDC and tactical use. Order wholesale today.
10042,simple,,,D2 G10 Folding Knife LKFDK10009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel blade offers superior wear resistance and edge stability.</li><li><strong>Handle Material:</strong> G10 scales provide a lightweight, high-strength grip.</li><li><strong>Locking Mechanism:</strong> Liner lock ensures safe and confident cutting.</li></ul>","<h2>D2 G10 Folding Knife LKFDK10009</h2><p>This folding knife combines D2 steel performance with G10 handle durability, making it a reliable tool for everyday carry and outdoor use. The liner lock mechanism provides secure blade deployment, while the ergonomic handle design reduces fatigue. Ideal for retailers seeking high-quality pocket knives for wholesale distribution to outdoor and EDC markets.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 for exceptional edge retention.</li><li><strong>Handle Material:</strong> G10 for a secure, comfortable grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for safety.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/D2-G10-Folding-Knife-lkfdk10009.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10009-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10009-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10009-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10009-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10009-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,folding knife wholesale,144,9705,no,,D2 G10 Folding Knife Wholesale LKFDK10009,Wholesale D2 G10 folding knife with durable blade and liner lock. Ideal for EDC and outdoor retailers. Order wholesale today.
10051,simple,,,D2 G10 Folding Knife LKFDK10010,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel for high hardness and long-lasting sharpness.</li><li><strong>Handle Material:</strong> Textured G10 scales offer excellent grip in wet conditions.</li><li><strong>Locking Mechanism:</strong> Liner lock provides secure blade retention.</li></ul>,"<h2>D2 G10 Folding Knife LKFDK10010</h2><p>This D2 G10 folding knife is a robust choice for everyday carry and tactical applications. The D2 steel blade maintains a sharp edge through heavy use, while the G10 handle ensures a non-slip grip. The liner lock mechanism adds an extra layer of safety. Available in bulk for outdoor gear and EDC retailers looking to expand their pocket knife selection.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 for superior edge retention.</li><li><strong>Handle Material:</strong> G10 for durability and grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for safe operation.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/D2-G10-Folding-Knife-lkfdk10010.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10010-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10010-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10010-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10010-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10010-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,tactical folding knife,144,9705,no,,D2 G10 Folding Knife Wholesale LKFDK10010,Wholesale D2 G10 folding knife with tactical-grade blade and secure liner lock. Ideal for EDC retailers. Order wholesale today.
10060,simple,,,D2 G10 with Carbon Fiber Overlay Folding Knife LKFDK10011,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 tool steel blade for excellent edge retention and toughness.</li><li><strong>Handle Material:</strong> G10 with carbon fiber overlay for a premium look and enhanced grip.</li><li><strong>Locking Mechanism:</strong> Liner lock ensures safe blade use.</li></ul>,<h2>D2 G10 with Carbon Fiber Overlay Folding Knife LKFDK10011</h2><p>This folding knife features a D2 steel blade combined with a G10 handle accented by a carbon fiber overlay. The carbon fiber adds a distinctive aesthetic while maintaining lightweight strength. The liner lock mechanism provides reliable safety. Ideal for retailers offering premium everyday carry knives through wholesale channels.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> D2 for high-performance cutting.</li><li><strong>Handle Material:</strong> G10 with carbon fiber overlay for style and grip.</li><li><strong>Locking Mechanism:</strong> Liner lock for security.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>D2</td></tr><tr><td>Handle Material</td><td>G10 / Carbon Fiber</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/D2-G10-with-Carbon-Fiber-Overlay-Folding-Knife-lkfdk10011.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10011-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10011-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10011-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10011-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10011-1.jpg",,,,,,,,,0,,Blade Material,D2,1,1,,11,carbon fiber folding knife,144,9705,no,,D2 Carbon Fiber Overlay Folding Knife Wholesale,Wholesale D2 G10 folding knife with carbon fiber overlay and liner lock. Premium EDC knife for retailers. Order wholesale today.
10069,simple,,,8Cr13MoV Ebony Folding Knife LKFDK10012,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV stainless steel for reliable edge retention and corrosion resistance.</li><li><strong>Handle Material:</strong> Ebony wood scales offer a classic, elegant appearance and comfortable grip.</li><li><strong>Locking Mechanism:</strong> Liner lock ensures safe blade deployment.</li></ul>","<h2>8Cr13MoV Ebony Folding Knife LKFDK10012</h2><p>This folding knife pairs an 8Cr13MoV stainless steel blade with elegant ebony wood handle scales. The natural wood provides a warm, refined look while the steel delivers dependable cutting performance. The liner lock mechanism ensures user safety. A great addition to wholesale orders for kitchen accessory and outdoor gear retailers seeking classic-styled pocket knives.</p><h3>Key Features</h3><ul><li><strong>Blade Steel:</strong> 8Cr13MoV for consistent sharpness.</li><li><strong>Handle Material:</strong> Ebony wood for a traditional feel.</li><li><strong>Locking Mechanism:</strong> Liner lock for secure use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Material</td><td>8Cr13MoV</td></tr><tr><td>Handle Material</td><td>Ebony</td></tr><tr><td>Lock Type</td><td>Liner Lock</td></tr><tr><td>Category</td><td>Folding Knife</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Folding Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/06/8Cr13MoV-Ebony-Folding-Knife-lkfdk10012.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10012-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10012-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10012-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10012-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKFDK10012-1.jpg",,,,,,,,,0,,,,,,,11,ebony folding knife,144,9705,no,,8Cr13MoV Ebony Folding Knife Wholesale,Wholesale 8Cr13MoV ebony folding knife with classic wood handle and liner lock. Ideal for EDC and kitchen accessory retailers. Order wholesale today.
