ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
10550,simple,,,Cast Iron Reversible Grill/Griddle LKGRI60001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Dual-Surface Design:</strong> One side features raised ridges for grilling, while the flat side works as a griddle for pancakes, eggs, and more.</li><li><strong>Premium Cast Iron Construction:</strong> Ensures superior heat retention and even distribution for consistent cooking results.</li><li><strong>Reversible & Versatile:</strong> Ideal for use on gas, electric, induction, and campfires—perfect for wholesale bulk orders.</li></ul>","<h2>Cast Iron Reversible Grill/Griddle LKGRI60001</h2><p>This cast iron reversible grill/griddle is a versatile addition to any kitchen or outdoor cooking setup, designed for wholesale buyers seeking durable, multi-functional cookware. Featuring a dual-surface design, it offers a ridged grill side for searing meats and vegetables, and a smooth griddle side for preparing breakfast items, pancakes, and more. The premium cast iron construction provides excellent heat retention and distribution, ensuring even cooking across the entire surface. Suitable for use on various heat sources including gas, electric, induction, and campfires, this griddle is built to withstand high temperatures and heavy daily use. Its reversible nature reduces the need for multiple pans, making it a cost-effective choice for bulk orders. The sturdy construction ensures long-lasting performance in commercial and residential kitchens alike.</p><h3>Key Features</h3><ul><li><strong>Dual-Surface Design:</strong> Grill ridges on one side, flat griddle on the other.</li><li><strong>Superior Heat Retention:</strong> Cast iron ensures even heat distribution.</li><li><strong>Versatile Compatibility:</strong> Works on gas, electric, induction, and campfires.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Design</td><td>Reversible Grill/Griddle</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Reversible-GrillGriddle-LKGRI60001.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60001-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60001-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60001-2.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,reversible grill griddle,172,10414,no,,Cast Iron Reversible Grill/Griddle LKGRI60001 Wholesale,Durable cast iron reversible grill/griddle with dual surfaces for grilling and griddling. Ideal for bulk orders. Order wholesale today.
10557,simple,,,Square Cast Iron Reversible Grill/Griddle LKGRI60002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Square Shape:</strong> Maximizes cooking surface area, perfect for batch cooking and commercial use.</li><li><strong>Reversible Surfaces:</strong> Grill ridges on one side, flat griddle on the other for versatile cooking.</li><li><strong>Heavy-Duty Cast Iron:</strong> Provides excellent heat retention and durability for wholesale bulk orders.</li></ul>","<h2>Square Cast Iron Reversible Grill/Griddle LKGRI60002</h2><p>This square cast iron reversible grill/griddle is designed for efficiency and versatility, making it an excellent choice for wholesale buyers in the kitchen supply industry. The square shape maximizes usable cooking space, allowing for larger batches of food to be prepared simultaneously. The reversible design features a ridged grill side for searing steaks, chops, and vegetables, and a smooth griddle side for pancakes, eggs, and grilled sandwiches. Crafted from premium cast iron, this griddle ensures superior heat retention and even heat distribution, reducing hot spots. It is compatible with gas, electric, induction, and campfire cooking, offering flexibility for various kitchen environments. The sturdy construction and large surface area make it ideal for restaurants, caterers, and retailers looking to stock high-demand cookware. This product is perfect for bulk orders due to its durability and multi-functionality.</p><h3>Key Features</h3><ul><li><strong>Square Design:</strong> Provides a large, efficient cooking surface.</li><li><strong>Reversible Functionality:</strong> Grill and griddle in one pan.</li><li><strong>Durable Cast Iron:</strong> Long-lasting performance for commercial use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Square</td></tr><tr><td>Design</td><td>Reversible</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Square-Cast-Iron-Reversible-GrillGriddle-LKGRI60002.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60002-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60002-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,square cast iron griddle,172,10414,no,,Square Cast Iron Reversible Grill/Griddle LKGRI60002,Square cast iron reversible grill/griddle with dual surfaces for versatile cooking. Ideal for wholesale bulk orders. Order wholesale today.
10562,simple,,,Cast Iron Reversible Grill/Griddle LKGRI60003,1,0,visible,<h3>Key Features</h3><ul><li><strong>Reversible Design:</strong> Features a ridged grill side and a smooth griddle side for maximum versatility.</li><li><strong>Cast Iron Construction:</strong> Ensures excellent heat retention and even cooking for professional results.</li><li><strong>Large Surface Area:</strong> Ideal for batch cooking in commercial kitchens or outdoor settings.</li></ul>,"<h2>Cast Iron Reversible Grill/Griddle LKGRI60003</h2><p>This cast iron reversible grill/griddle is a must-have for any kitchen, offering two cooking surfaces in one durable tool. Designed for wholesale buyers, this product combines functionality with robust construction. The ridged grill side is perfect for searing meats, fish, and vegetables, creating attractive grill marks, while the smooth griddle side excels at cooking pancakes, eggs, and flatbreads. Made from high-quality cast iron, this griddle provides superior heat retention and distribution, ensuring consistent cooking results. It is compatible with a variety of heat sources, including gas, electric, induction, and campfires, making it versatile for both indoor and outdoor use. The large surface area allows for cooking multiple portions at once, increasing efficiency in busy kitchens. This reversible griddle is an excellent addition to any wholesale order, offering value and performance.</p><h3>Key Features</h3><ul><li><strong>Two Surfaces in One:</strong> Grill and griddle functionality.</li><li><strong>Superior Heat Retention:</strong> Cast iron ensures even cooking.</li><li><strong>Versatile Use:</strong> Suitable for multiple heat sources.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Design</td><td>Reversible</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Reversible-GrillGriddle-LKGRI60003.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60003-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60003-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron reversible griddle,172,10414,no,,Cast Iron Reversible Grill/Griddle LKGRI60003 Wholesale,Versatile cast iron reversible grill/griddle with dual surfaces for grilling and griddling. Perfect for bulk orders. Order wholesale today.
10568,simple,,,Square Cast Iron Grill Pan LKGRI60004,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Square Grill Pan:</strong> Designed for efficient cooking with raised ridges for perfect searing.</li><li><strong>Cast Iron Material:</strong> Provides excellent heat retention and durability for long-term use.</li><li><strong>Versatile Compatibility:</strong> Works on gas, electric, induction, and campfire stoves.</li></ul>","<h2>Square Cast Iron Grill Pan LKGRI60004</h2><p>This square cast iron grill pan is an essential tool for any kitchen, offering a dedicated surface for grilling indoors. Designed for wholesale buyers, this pan features raised ridges that create attractive grill marks on meats, poultry, and vegetables, while allowing excess fat to drain away. The cast iron construction ensures superior heat retention and even heat distribution, reducing hot spots and ensuring consistent cooking results. This square grill pan is ideal for use on gas, electric, induction, and campfire stoves, providing flexibility for various cooking environments. The sturdy build guarantees durability, making it suitable for heavy daily use in commercial or residential settings. Its square shape maximizes cooking surface area, allowing for efficient batch cooking. This product is a reliable choice for retailers and distributors looking to offer high-quality kitchen accessories to their customers.</p><h3>Key Features</h3><ul><li><strong>Raised Ridges:</strong> Creates grill marks and drains fat.</li><li><strong>Even Heat Distribution:</strong> Cast iron ensures consistent cooking.</li><li><strong>Durable Construction:</strong> Built for long-lasting performance.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Square</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Square-Cast-Iron-Grill-Pan-LKGRI60004.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60004-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60004-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60004-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,7,square cast iron grill pan,172,10414,no,,Square Cast Iron Grill Pan LKGRI60004 Wholesale,Square cast iron grill pan with raised ridges for perfect searing. Durable and versatile. Order wholesale today.
10575,simple,,,Dual Handled Square Cast Iron Grill Pan LKGRI60005,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Provides secure and balanced lifting, even when fully loaded.</li><li><strong>Square Shape:</strong> Maximizes cooking surface for efficient batch cooking.</li><li><strong>Cast Iron Construction:</strong> Ensures excellent heat retention and even heat distribution.</li></ul>","<h2>Dual Handled Square Cast Iron Grill Pan LKGRI60005</h2><p>This dual handled square cast iron grill pan is designed for heavy-duty use in commercial kitchens and outdoor cooking. The square shape provides a large cooking surface, ideal for grilling multiple portions of meat, fish, or vegetables at once. The raised ridges on the cooking surface create attractive grill marks and allow fat to drain away for healthier meals. The dual handles offer a secure and balanced grip, making it easy to lift and maneuver even when the pan is full. Made from premium cast iron, this grill pan offers superior heat retention and even heat distribution, ensuring consistent cooking results. It is compatible with gas, electric, induction, and campfire stoves, making it a versatile addition to any kitchen. This product is perfect for wholesale bulk orders, providing durability and functionality for professional use.</p><h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Easy and safe lifting.</li><li><strong>Large Surface:</strong> Square shape for batch cooking.</li><li><strong>Superior Heat Retention:</strong> Cast iron for even cooking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Shape</td><td>Square</td></tr><tr><td>Handles</td><td>Dual</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Dual-Handled-Square-Cast-Iron-Grill-Pan-LKGRI60005.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60005.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,7,dual handled grill pan,172,10414,no,,Dual Handled Square Cast Iron Grill Pan LKGRI60005,Dual handled square cast iron grill pan for secure lifting and even cooking. Ideal for wholesale orders. Order wholesale today.
10579,simple,,,Dual Handled Cast Iron Grill Pan LKGRI60006,1,0,visible,<h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Provides stability and control when moving the pan.</li><li><strong>Cast Iron Build:</strong> Ensures excellent heat retention and long-lasting durability.</li><li><strong>Grill Ridges:</strong> Creates perfect sear marks and drains excess fat.</li></ul>,"<h2>Dual Handled Cast Iron Grill Pan LKGRI60006</h2><p>This dual handled cast iron grill pan is engineered for professional kitchens and serious home cooks who demand performance. The dual handles provide a secure and balanced grip, allowing for easy lifting and pouring even when the pan is heavy with food. The cast iron construction offers superior heat retention and even heat distribution, ensuring that every part of the cooking surface reaches the same temperature for consistent results. The raised grill ridges are perfect for searing steaks, chops, and vegetables, creating appetizing grill marks while allowing fat to drip away. This pan is compatible with gas, electric, induction, and campfire stoves, making it a versatile tool for any cooking environment. Its sturdy design ensures it can withstand the rigors of daily use in commercial settings. Ideal for wholesale bulk orders, this grill pan is a reliable addition to any kitchenware lineup.</p><h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Enhanced stability and control.</li><li><strong>Even Heating:</strong> Cast iron for consistent temperature.</li><li><strong>Grill Ridges:</strong> For perfect searing and fat drainage.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handles</td><td>Dual</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Dual-Handled-Cast-Iron-Grill-Pan-LKGRI60006.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60006.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,7,cast iron grill pan,172,10414,no,,Dual Handled Cast Iron Grill Pan LKGRI60006 Wholesale,Dual handled cast iron grill pan with ridges for perfect searing. Durable and versatile. Order wholesale today.
10583,simple,,,Dual Handled Cast Iron Grill Pan LKGRI60007,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Offers secure lifting and pouring control.</li><li><strong>Cast Iron Material:</strong> Provides superior heat retention and even cooking.</li><li><strong>Versatile Use:</strong> Suitable for gas, electric, induction, and campfire stoves.</li></ul>","<h2>Dual Handled Cast Iron Grill Pan LKGRI60007</h2><p>This dual handled cast iron grill pan is a robust and reliable tool for any kitchen, designed to meet the demands of wholesale buyers. The dual handles ensure safe and easy handling, even when the pan is fully loaded with food. The cast iron construction delivers exceptional heat retention and even heat distribution, allowing for precise cooking control. The raised grill ridges are ideal for searing meats and vegetables, creating attractive grill marks and reducing fat content. This pan is compatible with a wide range of heat sources, including gas, electric, induction, and campfire, making it versatile for both indoor and outdoor cooking. Its durable build ensures it can withstand high temperatures and frequent use without warping. This product is an excellent choice for retailers and distributors looking to stock high-quality kitchen accessories for bulk orders.</p><h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Safe and balanced lifting.</li><li><strong>Excellent Heat Retention:</strong> Cast iron for consistent results.</li><li><strong>Grill Ridges:</strong> For searing and fat drainage.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handles</td><td>Dual</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,https://img.leeknives.com/wp-content/uploads/2023/06/Dual-Handled-Cast-Iron-Grill-Pan-LKGRI60007.jpg,,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,7,dual handled grill pan,172,10414,no,,Dual Handled Cast Iron Grill Pan LKGRI60007,Dual handled cast iron grill pan with ridges for searing. Durable and versatile for bulk orders. Order wholesale today.
10586,simple,,,Dual Handled Cast Iron Griddle LKGRI60008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Provides easy lifting and pouring control.</li><li><strong>Flat Griddle Surface:</strong> Ideal for cooking pancakes, eggs, and flatbreads.</li><li><strong>Cast Iron Construction:</strong> Ensures even heat distribution and long-lasting durability.</li></ul>","<h2>Dual Handled Cast Iron Griddle LKGRI60008</h2><p>This dual handled cast iron griddle is designed for high-volume cooking, making it a perfect choice for wholesale buyers. The flat, smooth surface is ideal for preparing breakfast items like pancakes, eggs, and bacon, as well as grilled sandwiches and flatbreads. The dual handles provide a secure and balanced grip, allowing for safe lifting and pouring even when the griddle is hot and heavy. Made from premium cast iron, this griddle offers superior heat retention and even heat distribution, ensuring that food cooks uniformly. It is compatible with gas, electric, induction, and campfire stoves, offering versatility for various cooking environments. The sturdy construction guarantees durability, making it suitable for daily use in commercial kitchens. This griddle is an excellent addition to any wholesale order, providing reliable performance and value.</p><h3>Key Features</h3><ul><li><strong>Dual Handles:</strong> Secure and balanced lifting.</li><li><strong>Smooth Surface:</strong> Perfect for griddling and flat cooking.</li><li><strong>Even Heating:</strong> Cast iron for consistent results.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Handles</td><td>Dual</td></tr><tr><td>Surface</td><td>Flat Griddle</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,https://img.leeknives.com/wp-content/uploads/2023/06/Dual-Handled-Cast-Iron-Griddle-LKGRI60008.jpg,,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron griddle,172,10414,no,,Dual Handled Cast Iron Griddle LKGRI60008 Wholesale,Dual handled cast iron griddle with flat surface for pancakes and eggs. Durable and versatile. Order wholesale today.
10589,simple,,,Dual Handled Cast Iron Reversible Griddle LKGRI60009,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Reversible Design:</strong> One side for grilling, one side for griddling.</li><li><strong>Dual Handles:</strong> Ensures easy and safe handling.</li><li><strong>Cast Iron Material:</strong> Provides excellent heat retention and durability.</li></ul>","<h2>Dual Handled Cast Iron Reversible Griddle LKGRI60009</h2><p>This dual handled cast iron reversible griddle offers two cooking surfaces in one versatile tool, perfect for wholesale buyers. The reversible design features a ridged grill side for searing meats and vegetables, and a smooth griddle side for cooking pancakes, eggs, and more. The dual handles provide a secure and balanced grip, making it easy to lift and flip the griddle. Made from high-quality cast iron, this griddle ensures superior heat retention and even heat distribution for consistent cooking results. It is compatible with gas, electric, induction, and campfire stoves, offering flexibility for both indoor and outdoor use. The sturdy construction ensures long-lasting performance, even in demanding commercial environments. This reversible griddle is an excellent choice for bulk orders, providing functionality and value for retailers and distributors.</p><h3>Key Features</h3><ul><li><strong>Reversible Surfaces:</strong> Grill and griddle in one.</li><li><strong>Dual Handles:</strong> Secure and balanced lifting.</li><li><strong>Superior Heat Retention:</strong> Cast iron for even cooking.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Design</td><td>Reversible</td></tr><tr><td>Handles</td><td>Dual</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Dual-Handled-Cast-Iron-Reversible-Griddle-LKGRI60009.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60009-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60009-1.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,reversible cast iron griddle,172,10414,no,,Dual Handled Cast Iron Reversible Griddle LKGRI60009,Dual handled reversible cast iron griddle with grill and griddle surfaces. Ideal for wholesale orders. Order wholesale today.
10596,simple,,,Cast Iron Griddle LKGRI60010,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Flat Griddle Surface:</strong> Perfect for cooking large batches of pancakes, eggs, and more.</li><li><strong>Cast Iron Construction:</strong> Ensures even heat distribution and long-lasting durability.</li><li><strong>Versatile Compatibility:</strong> Works on gas, electric, induction, and campfire stoves.</li></ul>","<h2>Cast Iron Griddle LKGRI60010</h2><p>This cast iron griddle is a versatile and durable cooking tool, ideal for wholesale buyers looking to stock high-quality kitchen accessories. The flat, smooth surface is perfect for preparing breakfast items like pancakes, eggs, and bacon, as well as grilled sandwiches and flatbreads. The cast iron construction provides excellent heat retention and even heat distribution, ensuring that food cooks uniformly without hot spots. This griddle is compatible with a variety of heat sources, including gas, electric, induction, and campfire stoves, making it suitable for both indoor and outdoor use. Its sturdy build ensures it can withstand high temperatures and frequent use, making it a reliable choice for commercial kitchens. This griddle is an excellent addition to any bulk order, offering performance and value for retailers and distributors.</p><h3>Key Features</h3><ul><li><strong>Smooth Surface:</strong> Ideal for griddling and flat cooking.</li><li><strong>Even Heating:</strong> Cast iron for consistent results.</li><li><strong>Durable Build:</strong> Long-lasting performance.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Material</td><td>Cast Iron</td></tr><tr><td>Surface</td><td>Flat Griddle</td></tr><tr><td>Compatibility</td><td>Gas, Electric, Induction, Campfire</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Cookware > Grills & Griddles,,,"https://img.leeknives.com/wp-content/uploads/2023/06/Cast-Iron-Griddle-LKGRI60010.jpg, https://img.leeknives.com/wp-content/uploads/2023/06/LKGRI60010.jpg",,,,,,,,,0,,Cookware Material,Cast Iron Cookware,0,1,,6,cast iron griddle,172,10414,no,,Cast Iron Griddle LKGRI60010 Wholesale,Flat cast iron griddle for pancakes and eggs. Durable and versatile for bulk orders. Order wholesale today.
