ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title,Meta: rank_math_description
9298,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 185 mm LKWCK10001,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for exceptional edge retention and corrosion resistance.</li><li><strong>Handle:</strong> Durable G10 handle offers a secure grip, ideal for professional use.</li><li><strong>Versatility:</strong> 185 mm chef knife suitable for slicing, dicing, and chopping in bulk food preparation.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 185 mm LKWCK10001</h2><p>This Western chef knife features a Damascus clad 10Cr15CoMoV steel blade, providing superior hardness and sharpness for demanding kitchen tasks. The 185 mm blade length offers excellent control and precision, making it a versatile tool for slicing, dicing, and chopping. The G10 handle is resistant to moisture and wear, ensuring long-lasting performance in commercial environments. Ideal for wholesale buyers seeking high-quality kitchen accessories for professional use.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for outstanding edge retention.</li><li><strong>Handle:</strong> G10 handle provides a durable, non-slip grip.</li><li><strong>Design:</strong> Western-style chef knife for all-purpose cutting tasks.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>185 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>SKU</td><td>LKWCK10001</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-G10-Handle-Chef-Knife-185-mm-LKWCK10001.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10001-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10001-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10001-3.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV G10 Chef Knife 185 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV G10 handle chef knife, 185 mm. Professional-grade for bulk orders. Order wholesale today."
9304,simple,,,5Cr15 430 Stainless Steel Handle Chef Knife 200 mm LKWCK10002,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 5Cr15 stainless steel ensures reliable sharpness and easy maintenance.</li><li><strong>Handle:</strong> 430 stainless steel handle provides a hygienic, easy-to-clean surface.</li><li><strong>Size:</strong> 200 mm chef knife designed for efficient bulk cutting in commercial kitchens.</li></ul>","<h2>5Cr15 430 Stainless Steel Handle Chef Knife 200 mm LKWCK10002</h2><p>This chef knife is crafted from 5Cr15 stainless steel, offering a balanced combination of hardness and corrosion resistance. The 200 mm blade is ideal for a variety of kitchen tasks, from chopping vegetables to slicing meats. The 430 stainless steel handle ensures durability and hygiene, making it suitable for high-volume food preparation. Perfect for wholesale orders, this knife is a reliable addition to any kitchen accessory lineup for retailers and distributors.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 5Cr15 stainless steel for consistent performance.</li><li><strong>Handle:</strong> 430 stainless steel handle for easy cleaning and longevity.</li><li><strong>Use:</strong> Versatile chef knife for everyday commercial use.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>5Cr15</td></tr><tr><td>Handle Material</td><td>430 Stainless Steel</td></tr><tr><td>SKU</td><td>LKWCK10002</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/5Cr15-430-Stainless-Steel-Handle-Chef-Knife-200-mm-LKWCK10002.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10002.jpg",,,,,,,,,0,,Blade Material,5Cr15,0,1,,11,chef knife,53,1598,no,,5Cr15 430 Stainless Steel Chef Knife 200 mm | Wholesale,"Wholesale 5Cr15 stainless steel chef knife with 430 stainless handle, 200 mm. Durable and hygienic for bulk orders. Order wholesale today."
9308,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 210 mm LKWCK10003,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for superior edge retention.</li><li><strong>Handle:</strong> G10 handle provides a secure, ergonomic grip.</li><li><strong>Length:</strong> 210 mm blade offers extended reach for larger cutting tasks.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 210 mm LKWCK10003</h2><p>This Western chef knife features a Damascus clad 10Cr15CoMoV steel blade, known for its exceptional sharpness and durability. The 210 mm blade length is ideal for heavy-duty chopping and slicing in professional kitchens. The G10 handle is robust and moisture-resistant, ensuring a comfortable grip during extended use. Ideal for wholesale buyers seeking premium kitchen knives for resale or commercial use.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for long-lasting sharpness.</li><li><strong>Handle:</strong> G10 handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 210 mm blade for versatility.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>210 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>SKU</td><td>LKWCK10003</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-G10-Handle-Chef-Knife-210-mm-LKWCK10003.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10003-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10003-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10003-1.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV G10 Chef Knife 210 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV G10 handle chef knife, 210 mm. Professional-grade for bulk orders. Order wholesale today."
9314,simple,,,5Cr15 Pakkawood Chef Knife 200 mm LKWCK10005,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 5Cr15 steel for reliable sharpness and easy maintenance.</li><li><strong>Handle:</strong> Pakkawood handle offers an elegant, durable grip.</li><li><strong>Size:</strong> 200 mm chef knife suitable for various kitchen tasks in bulk preparation.</li></ul>","<h2>5Cr15 Pakkawood Chef Knife 200 mm LKWCK10005</h2><p>This chef knife combines a 5Cr15 stainless steel blade with a Pakkawood handle, offering a balance of performance and aesthetics. The 200 mm blade is versatile for chopping, slicing, and dicing. The Pakkawood handle is moisture-resistant and provides a comfortable grip, making it suitable for long hours in the kitchen. Perfect for wholesale orders, this knife is a great addition to any kitchen accessories collection.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> 5Cr15 stainless steel for consistent cutting.</li><li><strong>Handle:</strong> Pakkawood handle for durability and style.</li><li><strong>Use:</strong> All-purpose chef knife for commercial kitchens.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>5Cr15</td></tr><tr><td>Handle Material</td><td>Pakkawood</td></tr><tr><td>SKU</td><td>LKWCK10005</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/5Cr15-Pakkawood-Chef-Knife-200-mm-LKWCK10005.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10005-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10005-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10005-2.jpg",,,,,,,,,0,,Blade Material,5Cr15,0,1,,11,chef knife,53,1598,no,,5Cr15 Pakkawood Chef Knife 200 mm | Wholesale,"Wholesale 5Cr15 Pakkawood handle chef knife, 200 mm. Elegant and durable for bulk orders. Order wholesale today."
9320,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 200 mm LKWCK10007,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for exceptional sharpness.</li><li><strong>Handle:</strong> Stabilized wood handle ensures durability and a secure grip.</li><li><strong>Length:</strong> 200 mm blade ideal for precise cutting tasks.</li></ul>,"<h2>Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 200 mm LKWCK10007</h2><p>This chef knife features a Damascus clad 10Cr15CoMoV steel blade, offering superior edge retention and corrosion resistance. The 200 mm blade is perfect for slicing, dicing, and chopping in professional settings. The stabilized wood handle is treated for moisture resistance and provides a comfortable, non-slip grip. Ideal for wholesale buyers looking for premium kitchen knives for resale.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for long-lasting sharpness.</li><li><strong>Handle:</strong> Stabilized wood handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 200 mm blade for versatility.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>SKU</td><td>LKWCK10007</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-Stabilized-Wood-Chef-Knife-200-mm-LKWCK10007-e1682566751778.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10007-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10007-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10007-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 200 mm,"Wholesale Damascus clad 10Cr15CoMoV stabilized wood chef knife, 200 mm. Premium quality for bulk orders. Order wholesale today."
9326,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 205 mm LKWCK10008,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for excellent performance.</li><li><strong>Handle:</strong> G10 handle offers a secure, ergonomic grip.</li><li><strong>Length:</strong> 205 mm blade provides a balance of control and reach.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 205 mm LKWCK10008</h2><p>This chef knife features a Damascus clad 10Cr15CoMoV steel blade, ensuring exceptional sharpness and edge retention. The 205 mm blade is versatile for various cutting tasks, from slicing to chopping. The G10 handle is durable and moisture-resistant, providing a comfortable grip for extended use. Ideal for wholesale buyers seeking high-quality kitchen knives for commercial or retail purposes.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for superior cutting.</li><li><strong>Handle:</strong> G10 handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 205 mm blade.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>SKU</td><td>LKWCK10008</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-G10-Handle-Chef-Knife-205-mm-LKWCK10008.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10008-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10008-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV G10 Chef Knife 205 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV G10 handle chef knife, 205 mm. Professional-grade for bulk orders. Order wholesale today."
9331,simple,,,Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 205 mm LKWCK10009,1,0,visible,<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for outstanding edge retention.</li><li><strong>Handle:</strong> Stabilized wood handle ensures durability and a comfortable grip.</li><li><strong>Length:</strong> 205 mm blade for precise and efficient cutting.</li></ul>,"<h2>Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 205 mm LKWCK10009</h2><p>This chef knife combines a Damascus clad 10Cr15CoMoV steel blade with a stabilized wood handle, offering both performance and aesthetics. The 205 mm blade is ideal for slicing, dicing, and chopping in professional kitchens. The stabilized wood handle is treated to resist moisture and wear, providing a secure grip. Perfect for wholesale orders, this knife is a premium addition to any kitchen accessories lineup.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for long-lasting sharpness.</li><li><strong>Handle:</strong> Stabilized wood handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 205 mm blade.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Stabilized Wood</td></tr><tr><td>SKU</td><td>LKWCK10009</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-Stabilized-Wood-Chef-Knife-205-mm-LKWCK10009.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10009-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10009-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV Stabilized Wood Chef Knife 205 mm,"Wholesale Damascus clad 10Cr15CoMoV stabilized wood chef knife, 205 mm. Premium quality for bulk orders. Order wholesale today."
9336,simple,,,Damascus Clad 10Cr15CoMoV Pau Rosa Chef Knife 200 mm LKWCK10010,0,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for superior sharpness.</li><li><strong>Handle:</strong> Pau Rosa handle offers a unique, durable grip.</li><li><strong>Length:</strong> 200 mm blade for versatile kitchen tasks.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Pau Rosa Chef Knife 200 mm LKWCK10010</h2><p>This chef knife features a Damascus clad 10Cr15CoMoV steel blade, providing exceptional edge retention and corrosion resistance. The 200 mm blade is perfect for slicing, dicing, and chopping. The Pau Rosa handle is crafted from exotic wood, offering durability and a comfortable grip. Ideal for wholesale buyers seeking premium kitchen knives with distinctive aesthetics.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for long-lasting sharpness.</li><li><strong>Handle:</strong> Pau Rosa handle for durability and style.</li><li><strong>Design:</strong> Western chef knife with a 200 mm blade.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Pau Rosa</td></tr><tr><td>SKU</td><td>LKWCK10010</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-Pau-Rosa-Chef-Knife-200-mm-LKWCK10010.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10010-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10010-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV Pau Rosa Chef Knife 200 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV Pau Rosa handle chef knife, 200 mm. Exotic and durable for bulk orders. Order wholesale today."
9341,simple,,,Damascus Clad 10Cr15CoMoV Rosewood Chef Knife 205 mm LKWCK10011,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for excellent cutting performance.</li><li><strong>Handle:</strong> Rosewood handle provides a classic, comfortable grip.</li><li><strong>Length:</strong> 205 mm blade for precise cutting in commercial kitchens.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV Rosewood Chef Knife 205 mm LKWCK10011</h2><p>This chef knife features a Damascus clad 10Cr15CoMoV steel blade, ensuring exceptional sharpness and durability. The 205 mm blade is versatile for various cutting tasks, from slicing to chopping. The Rosewood handle is moisture-resistant and provides a comfortable, secure grip. Ideal for wholesale buyers seeking high-quality kitchen knives for retail or commercial use.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for superior edge retention.</li><li><strong>Handle:</strong> Rosewood handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 205 mm blade.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>205 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>Rosewood</td></tr><tr><td>SKU</td><td>LKWCK10011</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-Rosewood-Chef-Knife-205-mm-LKWCK10011.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10011-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10011-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV Rosewood Chef Knife 205 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV rosewood handle chef knife, 205 mm. Classic and durable for bulk orders. Order wholesale today."
9346,simple,,,Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 200 mm LKWCK10012,1,0,visible,"<h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV steel for outstanding sharpness.</li><li><strong>Handle:</strong> G10 handle offers a secure, non-slip grip.</li><li><strong>Length:</strong> 200 mm blade for versatile kitchen use.</li></ul>","<h2>Damascus Clad 10Cr15CoMoV G10 Handle Chef Knife 200 mm LKWCK10012</h2><p>This chef knife features a Damascus clad 10Cr15CoMoV steel blade, providing superior edge retention and corrosion resistance. The 200 mm blade is ideal for slicing, dicing, and chopping in professional settings. The G10 handle is durable and moisture-resistant, ensuring a comfortable grip during extended use. Perfect for wholesale buyers seeking premium kitchen knives for resale.</p><h3>Key Features</h3><ul><li><strong>Blade Material:</strong> Damascus clad 10Cr15CoMoV for long-lasting sharpness.</li><li><strong>Handle:</strong> G10 handle for durability and comfort.</li><li><strong>Design:</strong> Western chef knife with a 200 mm blade.</li></ul><h3>Specifications</h3><table><tr><th>Spec</th><th>Detail</th></tr><tr><td>Blade Length</td><td>200 mm</td></tr><tr><td>Steel Type</td><td>10Cr15CoMoV</td></tr><tr><td>Handle Material</td><td>G10</td></tr><tr><td>SKU</td><td>LKWCK10012</td></tr></table>",,,taxable,,1,,,0,0,,,,,0,,,,Kitchen Knives > Western Kitchen Knives > Chef Knives,,,"https://img.leeknives.com/wp-content/uploads/2023/04/Damascus-Clad-10Cr15CoMoV-G10-Handle-Chef-Knife-200-mm-LKWCK10012.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10012-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/04/LKWCK10012-2.jpg",,,,,,,,,0,,Blade Material,"10Cr15CoMoV, Damascus Steel",0,1,,11,chef knife,53,1598,no,,Damascus Clad 10Cr15CoMoV G10 Chef Knife 200 mm | Wholesale,"Wholesale Damascus clad 10Cr15CoMoV G10 handle chef knife, 200 mm. Professional-grade for bulk orders. Order wholesale today."
